predicted,observed,eta,beta
12.770640594149768,12.7449,50,4
47.427999622147034,47.4721,50,16
82.0853586501443,82.0836,50,64
116.74271767814157,116.85610000000001,50,256
151.40007670613883,151.5361,50,1024
51.08256237659907,51.1225,200,4
189.71199848858814,189.6129,200,16
328.3414346005772,328.3344,200,64
466.9708707125663,466.9921,200,256
605.6003068245553,605.6521,200,1024
255.41281188299536,255.6801,1000,4
948.5599924429406,948.6400000000001,1000,16
1641.707173002886,1641.8704000000002,1000,64
2334.8543535628314,2335.7889,1000,256
