lambda,cv,beta
0.5,0.28783628136,4
0.60102,0.29015444597,4
0.702041,0.29288934002,4
0.803061,0.29603583641,4
0.904082,0.2995874269,4
1.005102,0.30353597282,4
1.106122,0.30787142607,4
1.207143,0.31258152292,4
1.308163,0.31765145398,4
1.409184,0.32306351476,4
1.510204,0.32879674263,4
1.611224,0.33482654733,4
1.712245,0.34112434392,4
1.813265,0.34765719847,4
1.914286,0.35438749913,4
2.015306,0.36127266649,4
2.116327,0.36826491913,4
2.217347,0.3753111118,4
2.318367,0.38235266467,4
2.419388,0.38932560291,4
2.520408,0.39616072572,4
2.621429,0.40278392343,4
2.722449,0.40911665886,4
2.823469,0.41507662687,4
2.92449,0.42057860109,4
3.02551,0.42553547178,4
3.126531,0.4298594714,4
3.227551,0.43346357687,4
3.328571,0.43626306813,4
3.429592,0.43817721309,4
3.530612,0.43913103956,4
3.631633,0.43905714517,4
3.732653,0.43789748849,4
3.833673,0.43560509819,4
3.934694,0.43214563341,4
4.035714,0.42749872802,4
4.136735,0.42165905453,4
4.237755,0.41463705038,4
4.338776,0.40645925994,4
4.439796,0.39716825995,4
4.540816,0.38682215287,4
4.641837,0.37549363158,4
4.742857,0.36326863816,4
4.843878,0.35024465857,4
4.944898,0.33652871156,4
5.045918,0.32223510452,4
5.146939,0.30748303823,4
5.247959,0.29239414804,4
5.34898,0.2770900689,4
5.45,0.26169010731,4
5.55102,0.24630909446,4
5.652041,0.23105548221,4
5.753061,0.21602972953,4
5.854082,0.20132301033,4
5.955102,0.18701625806,4
6.056122,0.17317954673,4
6.157143,0.1598717946,4
6.258163,0.14714076536,4
6.359184,0.13502333299,4
6.460204,0.12354597068,4
6.561224,0.1127254207,4
6.662245,0.10256950199,4
6.763265,0.093078012855,4
6.864286,0.084243689962,4
6.965306,0.076053188386,4
7.066327,0.068488052959,4
7.167347,0.061525656172,4
7.268367,0.05514008343,4
7.369388,0.049302951404,4
7.470408,0.043984150187,4
7.571429,0.03915250369,4
7.672449,0.034776346431,4
7.773469,0.030824017827,4
7.87449,0.027264277029,4
7.97551,0.0240666428,4
8.076531,0.021201665339,4
8.177551,0.01864113519,4
8.278571,0.016358237583,4
8.379592,0.014327658399,4
8.480612,0.012525648446,4
8.581633,0.01093005322,4
8.682653,0.0095203130622,4
8.783673,0.0082774400071,4
8.884694,0.0071839758166,4
8.985714,0.0062239353429,4
9.086735,0.0053827395168,4
9.187755,0.0046471399837,4
9.288776,0.0040051396354,4
9.389796,0.0034459102753,4
9.490816,0.0029597089451,4
9.591837,0.0025377958082,4
9.692857,0.0021723533573,4
9.793878,0.0018564081111,4
9.894898,0.001583756326,4
9.995918,0.0013488933619,4
10.096939,0.0011469470628,4
10.197959,0.00097361553344,4
10.29898,0.00082510974607,4
10.4,0.00069809958222,4
10.50102,0.00058966566576,4
10.602041,0.00049725384451,4
10.703061,0.00041863485239,4
10.804082,0.00035186685272,4
10.905102,0.00029526208527,4
11.006122,0.00024735694751,4
11.107143,0.00020688466611,4
11.208163,0.00017275093705,4
11.309184,0.00014401279623,4
11.410204,0.00011985900346,4
11.511224,0.000099593191408,4
11.612245,0.000082618673332,4
11.713265,0.000068425084464,4
11.814286,0.000056577497162,4
11.915306,0.000046704721171,4
12.016327,0.000038491853047,4
12.117347,0.00003167137038,4
12.218367,0.000026016961783,4
12.319388,0.000021337182261,4
12.420408,0.000017470389139,4
12.521429,0.000014281307813,4
12.622449,0.00001165503636,4
12.723469,0.0000094963470474,4
12.82449,0.0000077249133028,4
12.92551,0.0000062735052779,4
13.026531,0.0000050864764489,4
13.127551,0.0000041174935177,4
13.228571,0.0000033275573514,4
13.329592,0.0000026848865673,4
13.430612,0.0000021626474336,4
13.531633,0.0000017391284928,4
13.632653,0.0000013965182006,4
13.733673,0.00000111956615,4
13.834694,8.9581590146e-7,4
13.935714,7.1583781391e-7,4
14.036735,5.7078432292e-7,4
14.137755,4.5471824706e-7,4
14.238776,3.6158598959e-7,4
14.339796,2.869637683e-7,4
14.440816,2.2735912353e-7,4
14.541837,1.797452569e-7,4
14.642857,1.4214310795e-7,4
14.743878,1.1222437024e-7,4
14.844898,8.8242813945e-8,4
14.945918,6.9383531809e-8,4
15.046939,5.4482370615e-8,4
15.147959,4.2491592467e-8,4
15.24898,3.3178366721e-8,4
15.35,2.5960616767e-8,4
15.45102,2.0256265998e-8,4
15.552041,1.5832483768e-8,4
15.653061,1.2456439435e-8,4
15.754082,9.429641068e-9,4
15.855102,7.4505805969e-9,4
15.956122,5.5879354477e-9,4
16.057143,4.1909515858e-9,4
16.158163,3.4924596548e-9,4
16.259184,2.5611370802e-9,4
16.360204,1.8626451492e-9,4
16.461224,1.3969838619e-9,4
16.562245,1.1641532183e-9,4
16.663265,9.3132257462e-10,4
16.764286,9.3132257462e-10,4
16.865306,6.9849193096e-10,4
16.966327,-2.3283064365e-10,4
17.067347,4.6566128731e-10,4
17.168367,2.3283064365e-10,4
17.269388,0,4
17.370408,-2.3283064365e-10,4
17.471429,4.6566128731e-10,4
17.572449,4.6566128731e-10,4
17.673469,2.3283064365e-10,4
17.77449,-2.3283064365e-10,4
17.87551,-2.3283064365e-10,4
17.976531,0,4
18.077551,-4.6566128731e-10,4
18.178571,4.6566128731e-10,4
18.279592,0,4
18.380612,-2.3283064365e-10,4
18.481633,0,4
18.582653,4.6566128731e-10,4
18.683673,0,4
18.784694,-2.3283064365e-10,4
18.885714,-2.3283064365e-10,4
18.986735,4.6566128731e-10,4
19.087755,-4.6566128731e-10,4
19.188776,0,4
19.289796,0,4
19.390816,0,4
19.491837,4.6566128731e-10,4
19.592857,4.6566128731e-10,4
19.693878,0,4
19.794898,0,4
19.895918,0,4
19.996939,0,4
0.5,0.000033113620276,16
0.60102,0.000035212079325,16
0.702041,0.00003785279722,16
0.803061,0.000041128071871,16
0.904082,0.000045155742157,16
1.005102,0.000050085258181,16
1.106122,0.000056105504655,16
1.207143,0.000063454840415,16
1.308163,0.000072433955893,16
1.409184,0.000083422292846,16
1.510204,0.00009689901276,16
1.611224,0.00011346968722,16
1.712245,0.0001339002647,16
1.813265,0.00015916016991,16
1.914286,0.00019047688147,16
2.015306,0.00022940483268,16
2.116327,0.0002779121196,16
2.217347,0.00033848912062,16
2.318367,0.00041428399709,16
2.419388,0.00050927072516,16
2.520408,0.00062845622415,16
2.621429,0.00077813377902,16
2.722449,0.00096619064789,16
2.823469,0.001202477888,16
2.92449,0.0014992503166,16
3.02551,0.0018716836421,16
3.126531,0.0023384736742,16
3.227551,0.0029225198232,16
3.328571,0.0036516896216,16
3.429592,0.004559655179,16
3.530612,0.0056867824242,16
3.631633,0.0070810437319,16
3.732653,0.008798910254,16
3.833673,0.010906164112,16
3.934694,0.013478554007,16
4.035714,0.016602198826,16
4.136735,0.020373627252,16
4.237755,0.02489932609,16
4.338776,0.030294661585,16
4.439796,0.036682035192,16
4.540816,0.044188143802,16
4.641837,0.052940238587,16
4.742857,0.063061311317,16
4.843878,0.074664195185,16
4.944898,0.087844639143,16
5.045918,0.10267350532,16
5.146939,0.11918834489,16
5.247959,0.13738471924,16
5.34898,0.15720775188,16
5.45,0.17854449851,16
5.55102,0.20121781077,16
