lambda,gap,eta
0.5,0.99004595052,50
0.5,0.99750306036,200
0.5,0.99950012448,1000
0.5,undefined,5000
0.5,undefined,25000
0.60102,0.98564932852,50
0.60102,0.9963941717,200
0.60102,0.99927780912,1000
0.60102,undefined,5000
0.60102,undefined,25000
0.702041,0.98047117138,50
0.702041,0.9950833912,200
0.702041,0.99901476207,1000
0.702041,undefined,5000
0.702041,undefined,25000
0.803061,0.97452403561,50
0.803061,0.9935715192,200
0.803061,0.99871101551,1000
0.803061,undefined,5000
0.803061,undefined,25000
0.904082,0.96782228637,50
0.904082,0.99185947796,200
0.904082,0.99836660662,1000
0.904082,undefined,5000
0.904082,undefined,25000
1.005102,0.96038203938,50
1.005102,0.9899483107,200
1.005102,0.99798157752,1000
1.005102,undefined,5000
1.005102,undefined,25000
1.106122,0.95222109604,50
1.106122,0.98783918055,200
1.106122,0.99755597532,1000
1.106122,undefined,5000
1.106122,undefined,25000
1.207143,0.94335887214,50
1.207143,0.98553336938,200
1.207143,0.99708985206,1000
1.207143,undefined,5000
1.207143,undefined,25000
1.308163,0.93381632062,50
1.308163,0.98303227647,200
1.308163,0.99658326472,1000
1.308163,undefined,5000
1.308163,undefined,25000
1.409184,0.92361584872,50
1.409184,0.98033741714,200
1.409184,0.99603627518,1000
1.409184,undefined,5000
1.409184,undefined,25000
1.510204,0.91278123009,50
1.510204,0.97745042119,200
1.510204,0.9954489503,1000
1.510204,undefined,5000
1.510204,undefined,25000
1.611224,0.90133751226,50
1.611224,0.97437303124,200
1.611224,0.99482136177,1000
1.611224,undefined,5000
1.611224,undefined,25000
1.712245,0.88931092003,50
1.712245,0.97110710101,200
1.712245,0.99415358621,1000
1.712245,undefined,5000
1.712245,undefined,25000
1.813265,0.87672875527,50
1.813265,0.96765459347,200
1.813265,0.99344570508,1000
1.813265,undefined,5000
1.813265,undefined,25000
1.914286,0.86361929374,50
1.914286,0.96401757882,200
1.914286,0.99269780472,1000
1.914286,undefined,5000
1.914286,undefined,25000
2.015306,0.85001167935,50
2.015306,0.96019823246,200
2.015306,0.99190997628,1000
2.015306,undefined,5000
2.015306,undefined,25000
2.116327,0.83593581653,50
2.116327,0.95619883282,200
2.116327,0.99108231577,1000
2.116327,undefined,5000
2.116327,undefined,25000
2.217347,0.82142226122,50
2.217347,0.95202175908,200
2.217347,0.99021492393,1000
2.217347,undefined,5000
2.217347,undefined,25000
2.318367,0.80650211105,50
2.318367,0.94766948882,200
2.318367,0.98930790634,1000
2.318367,undefined,5000
2.318367,undefined,25000
2.419388,0.79120689518,50
2.419388,0.94314459558,200
2.419388,0.98836137331,1000
2.419388,undefined,5000
2.419388,undefined,25000
2.520408,0.77556846447,50
2.520408,0.9384497463,200
2.520408,0.98737543987,1000
2.520408,undefined,5000
2.520408,undefined,25000
2.621429,0.7596188824,50
2.621429,0.93358769873,200
2.621429,0.98635022578,1000
2.621429,undefined,5000
2.621429,undefined,25000
2.722449,0.74339031732,50
2.722449,0.92856129871,200
2.722449,0.98528585551,1000
2.722449,undefined,5000
2.722449,undefined,25000
2.823469,0.72691493643,50
2.823469,0.9233734774,200
2.823469,0.9841824581,1000
2.823469,undefined,5000
2.823469,undefined,25000
2.92449,0.71022480208,50
2.92449,0.91802724844,200
2.92449,0.98304016735,1000
2.92449,undefined,5000
2.92449,undefined,25000
3.02551,0.69335177079,50
3.02551,0.91252570505,200
3.02551,0.98185912157,1000
3.02551,undefined,5000
3.02551,undefined,25000
