lambda,ntilde_over_lam2,eta
0.5,1.0194211832,50
0.5,1.0049628403,200
0.5,1.0009985027,1000
0.5,undefined,5000
0.5,undefined,25000
0.60102,1.028065266,50
0.60102,1.0071708776,200
0.60102,1.0014427392,1000
0.60102,undefined,5000
0.60102,undefined,25000
0.702041,1.0382983754,50
0.702041,1.0097841439,200
0.702041,1.0019684949,1000
0.702041,undefined,5000
0.702041,undefined,25000
0.803061,1.0501218968,50
0.803061,1.0128026623,200
0.803061,1.0025757699,1000
0.803061,undefined,5000
0.803061,undefined,25000
0.904082,1.0635374129,50
0.904082,1.0162264606,200
0.904082,1.0032645647,1000
0.904082,undefined,5000
0.904082,undefined,25000
1.005102,1.0785466894,50
1.005102,1.0200555689,200
1.005102,1.0040348793,1000
1.005102,undefined,5000
1.005102,undefined,25000
1.106122,1.0951516732,50
1.106122,1.0242900204,200
1.106122,1.0048867141,1000
1.106122,undefined,5000
1.106122,undefined,25000
1.207143,1.1133544689,50
1.207143,1.0289298539,200
1.207143,1.0058200694,1000
1.207143,undefined,5000
1.207143,undefined,25000
1.308163,1.1331573445,50
1.308163,1.0339751108,200
1.308163,1.0068349456,1000
1.308163,undefined,5000
1.308163,undefined,25000
1.409184,1.1545626963,50
1.409184,1.0394258331,200
1.409184,1.0079313417,1000
1.409184,undefined,5000
1.409184,undefined,25000
1.510204,1.1775730634,50
1.510204,1.0452820695,200
1.510204,1.0091092618,1000
1.510204,undefined,5000
1.510204,undefined,25000
1.611224,1.202191079,50
1.611224,1.0515438696,200
1.611224,1.0103687023,1000
1.611224,undefined,5000
1.611224,undefined,25000
1.712245,1.2284195043,50
1.712245,1.058211288,200
1.712245,1.0117096657,1000
1.712245,undefined,5000
1.712245,undefined,25000
1.813265,1.2562611549,50
1.813265,1.065284381,200
1.813265,1.0131321518,1000
1.813265,undefined,5000
1.813265,undefined,25000
1.914286,1.2857189309,50
1.914286,1.0727632078,200
1.914286,1.0146361615,1000
1.914286,undefined,5000
1.914286,undefined,25000
2.015306,1.3167957957,50
2.015306,1.0806478313,200
2.015306,1.0162216952,1000
2.015306,undefined,5000
2.015306,undefined,25000
2.116327,1.3494947312,50
2.116327,1.088938317,200
2.116327,1.0178887535,1000
2.116327,undefined,5000
2.116327,undefined,25000
2.217347,1.3838187599,50
2.217347,1.0976347315,200
2.217347,1.019637337,1000
2.217347,undefined,5000
2.217347,undefined,25000
2.318367,1.4197708964,50
2.318367,1.1067371451,200
2.318367,1.0214674462,1000
2.318367,undefined,5000
2.318367,undefined,25000
2.419388,1.4573541537,50
2.419388,1.1162456312,200
2.419388,1.023379082,1000
2.419388,undefined,5000
2.419388,undefined,25000
2.520408,1.4965715273,50
2.520408,1.1261602655,200
2.520408,1.0253722448,1000
2.520408,undefined,5000
2.520408,undefined,25000
2.621429,1.537425954,50
2.621429,1.1364811223,200
2.621429,1.0274469355,1000
2.621429,undefined,5000
2.621429,undefined,25000
2.722449,1.5799203467,50
2.722449,1.1472082866,200
2.722449,1.0296031554,1000
2.722449,undefined,5000
2.722449,undefined,25000
2.823469,1.6240575096,50
2.823469,1.1583418354,200
2.823469,1.0318409033,1000
2.823469,undefined,5000
2.823469,undefined,25000
2.92449,1.6698402098,50
2.92449,1.1698818525,200
2.92449,1.0341601821,1000
2.92449,undefined,5000
2.92449,undefined,25000
3.02551,1.7172710805,50
3.02551,1.1818284265,200
3.02551,1.0365609922,1000
3.02551,undefined,5000
3.02551,undefined,25000
3.126531,1.7663526703,50
3.126531,1.1941816385,200
3.126531,1.0390433332,1000
3.126531,undefined,5000
3.126531,undefined,25000
3.227551,1.8170873765,50
3.227551,1.2069415807,200
3.227551,1.0416072069,1000
3.227551,undefined,5000
3.227551,undefined,25000
3.328571,1.8694775601,50
3.328571,1.2201083454,200
3.328571,1.044252615,1000
3.328571,undefined,5000
3.328571,undefined,25000
3.429592,1.9235253304,50
3.429592,1.2336820171,200
3.429592,1.0469795579,1000
3.429592,undefined,5000
3.429592,undefined,25000
3.530612,1.9792326925,50
3.530612,1.2476626898,200
3.530612,1.0497880344,1000
3.530612,undefined,5000
3.530612,undefined,25000
3.631633,2.0366015142,50
3.631633,1.2620504622,200
3.631633,1.0526780487,1000
3.631633,undefined,5000
3.631633,undefined,25000
3.732653,2.0956334635,50
3.732653,1.2768454198,200
3.732653,1.0556496001,1000
3.732653,undefined,5000
3.732653,undefined,25000
3.833673,2.1563301129,50
3.833673,1.2920476635,200
3.833673,1.0587026907,1000
3.833673,undefined,5000
3.833673,undefined,25000
3.934694,2.218692772,50
3.934694,1.3076572882,200
3.934694,1.0618373187,1000
3.934694,undefined,5000
3.934694,undefined,25000
4.035714,2.2827226475,50
4.035714,1.3236743864,200
4.035714,1.0650534886,1000
4.035714,undefined,5000
4.035714,undefined,25000
4.136735,2.3484207081,50
4.136735,1.3400990601,200
4.136735,1.0683511999,1000
4.136735,undefined,5000
4.136735,undefined,25000
4.237755,2.4157877928,50
4.237755,1.3569314009,200
4.237755,1.0717304528,1000
4.237755,undefined,5000
4.237755,undefined,25000
4.338776,2.4848245703,50
4.338776,1.374171504,200
4.338776,1.0751912516,1000
4.338776,undefined,5000
4.338776,undefined,25000
4.439796,2.5555314848,50
4.439796,1.3918194736,200
4.439796,1.0787335943,1000
4.439796,undefined,5000
4.439796,undefined,25000
4.540816,2.6279088393,50
4.540816,1.409875401,200
4.540816,1.0823574834,1000
4.540816,undefined,5000
4.540816,undefined,25000
4.641837,2.7019567782,50
4.641837,1.4283393807,200
4.641837,1.0860629196,1000
4.641837,undefined,5000
4.641837,undefined,25000
4.742857,2.7776752247,50
4.742857,1.4472115123,200
4.742857,1.0898499041,1000
4.742857,undefined,5000
4.742857,undefined,25000
4.843878,2.8550639956,50
4.843878,1.4664918894,200
4.843878,1.0937184389,1000
4.843878,undefined,5000
4.843878,undefined,25000
4.944898,2.9341227313,50
4.944898,1.4861806065,200
4.944898,1.0976685252,1000
4.944898,undefined,5000
4.944898,undefined,25000
