lambda,ntilde_qmc,ntilde_ed,eta
0.5,0.020833551197,-0.99043253389,10
0.5,0.0047933333333,0.99004595052,50
0.5,0.23966666667,-0.99752784404,200
0.5,0.00002237771704,0.99750306036,500
0.6,0.03010720454,-0.98620426295,10
0.6,0.0068408333333,0.98564932852,50
0.6,0.34204166667,-0.99642992228,200
0.6,0.000027636680495,0.9963941717,500
0.7,0.041148666647,-0.98122249592,10
0.7,0.0094595833333,0.98047117138,50
0.7,0.47297916667,-0.99513207401,200
0.7,0.000032144811579,0.9950833912,500
0.8,0.053996084177,-0.9754984,10
0.8,0.012299166667,0.97452403561,50
0.8,0.61495833333,-0.99363507629,200
0.8,0.000036225522739,0.9935715192,500
0.9,0.068691414588,-0.96904477048,10
0.9,0.015613333333,0.96782228637,50
0.9,0.78066666667,-0.99193982397,200
0.9,0.000041048515778,0.99185947796,500
