lambda,u4n_ed,eta
0.2,-101.04236127,10
0.2,-433.54234407,50
0.2,-1683.3943042,200
0.2,-4183.377949,500
0.205,-96.183412996,10
0.205,-412.65378061,50
0.205,-1602.2794157,200
0.205,-3981.7995495,500
0.21,-91.667362423,10
0.21,-393.2394211,50
0.21,-1526.8891886,200
0.21,-3794.4474914,500
0.215,-87.462685522,10
0.215,-375.16373781,50
0.215,-1456.6973388,200
0.215,-3620.0139075,500
0.22,-83.541399347,10
0.22,-358.30642681,50
0.22,-1391.2366995,200
0.22,-3457.3378425,500
0.225,-79.878595212,10
0.225,-342.56040097,50
0.225,-1330.0914276,200
0.225,-3305.3858861,500
0.23,-76.452042134,10
0.23,-327.8300851,50
0.23,-1272.8903835,200
0.23,-3163.2357199,500
0.235,-73.241848687,10
0.235,-314.02996222,50
0.235,-1219.3014857,200
0.235,-3030.0620894,500
0.24,-70.23017365,10
0.24,-301.08332953,50
0.24,-1169.0268803,200
0.24,-2905.1247984,500
0.245,-67.400977558,10
0.245,-288.92123033,50
0.245,-1121.7987932,200
0.245,-2787.7584022,500
0.25,-64.739808686,10
0.25,-277.48153391,50
0.25,-1077.3759571,200
0.25,-2677.3633279,500
0.255,-62.233618115,10
0.255,-266.70814048,50
0.255,-1035.5405239,200
0.255,-2573.3982021,500
0.26,-59.870599441,10
0.26,-256.55029206,50
0.26,-996.09538924,200
0.26,-2475.3732011,500
0.265,-57.640049465,10
0.265,-246.96197353,50
0.265,-958.86186622,200
0.265,-2382.8442705,500
0.27,-55.53224676,10
0.27,-237.90139061,50
0.27,-923.67765835,200
0.27,-2295.4080877,500
0.275,-53.538345556,10
0.275,-229.33051363,50
0.275,-890.39508798,200
0.275,-2212.6976594,500
0.28,-51.650282767,10
0.28,-221.2146778,50
0.28,-858.87954411,200
0.28,-2134.3784641,500
0.285,-49.860696337,10
0.285,-213.52223223,50
0.285,-829.00811922,200
0.285,-2060.1450648,500
0.29,-48.162853349,10
0.29,-206.22423077,50
0.29,-800.66840909,200
0.29,-1989.7181258,500
0.295,-46.550586599,10
0.295,-199.29415939,50
0.295,-773.75745384,200
0.295,-1922.841782,500
0.3,-45.018238495,10
0.3,-192.707695,50
0.3,-748.18080145,200
0.3,-1859.2813108,500
0.305,-43.56061135,10
0.305,-186.44249169,50
0.305,-723.85167789,200
0.305,-1798.8210703,500
0.31,-42.172923242,10
0.31,-180.47799102,50
0.31,-700.6902501,200
0.31,-1741.2626676,500
0.315,-40.850768726,10
0.315,-174.79525308,50
0.315,-678.6229703,200
0.315,-1686.4233293,500
0.32,-39.590083827,10
0.32,-169.37680602,50
0.32,-657.58199135,200
0.32,-1634.1344487,500
0.325,-38.38711476,10
0.325,-164.20651154,50
0.325,-637.50464469,200
0.325,-1584.2402881,500
0.33,-37.238389947,10
0.33,-159.26944461,50
0.33,-618.33297308,200
0.33,-1536.5968184,500
0.335,-36.140694937,10
0.335,-154.55178562,50
0.335,-600.01331196,200
0.335,-1491.0706777,500
0.34,-35.091049887,10
0.34,-150.04072359,50
0.34,-582.49591345,200
0.34,-1447.5382379,500
0.345,-34.086689308,10
0.345,-145.7243691,50
0.345,-565.73460824,200
0.345,-1405.8847636,500
0.35,-33.125043827,10
0.35,-141.59167584,50
0.35,-549.68650115,200
0.35,-1366.003656,500
0.355,-32.20372373,10
0.355,-137.63236992,50
0.355,-534.3116963,200
0.355,-1327.7957703,500
0.36,-31.320504097,10
