lambda,u4x,eta
0.5,0.00023978330665,50
0.5,0.000016220979353,200
0.5,6.6304268231e-7,1000
0.5,undefined,5000
0.5,undefined,25000
0.60102,0.00049236705934,50
0.60102,0.000033717539509,200
0.60102,0.0000013830353758,1000
0.60102,undefined,5000
0.60102,undefined,25000
0.702041,0.00089893563283,50
0.702041,0.000062446405284,200
0.702041,0.0000025719963693,1000
0.702041,undefined,5000
0.702041,undefined,25000
0.803061,0.0015052582655,50
0.803061,0.00010628482944,200
0.803061,0.0000043983488913,1000
0.803061,undefined,5000
0.803061,undefined,25000
0.904082,0.0023583873069,50
0.904082,0.00016958547883,200
0.904082,0.0000070555302419,1000
0.904082,undefined,5000
0.904082,undefined,25000
1.005102,0.0035048428069,50
1.005102,0.00025712616052,200
1.005102,0.000010761519976,1000
1.005102,undefined,5000
1.005102,undefined,25000
1.106122,0.0049889238505,50
1.106122,0.00037405539148,200
1.106122,0.000015758317625,1000
1.106122,undefined,5000
1.106122,undefined,25000
1.207143,0.0068512146452,50
1.207143,0.00052583473729,200
1.207143,0.0000223113589,1000
1.207143,undefined,5000
1.207143,undefined,25000
1.308163,0.0091273419124,50
1.308163,0.00071817849688,200
1.308163,0.000030708878057,1000
1.308163,undefined,5000
1.308163,undefined,25000
1.409184,0.011847009395,50
1.409184,0.00095699180412,200
1.409184,0.000041261206705,1000
1.409184,undefined,5000
1.409184,undefined,25000
1.510204,0.015033332187,50
1.510204,0.0012483083178,200
1.510204,0.000054300096393,1000
1.510204,undefined,5000
1.510204,undefined,25000
1.611224,0.018702453786,50
1.611224,0.0015982276057,200
1.611224,0.000070177805165,1000
1.611224,undefined,5000
1.611224,undefined,25000
1.712245,0.022863445993,50
1.712245,0.0020128538993,200
1.712245,0.000089266409654,1000
1.712245,undefined,5000
1.712245,undefined,25000
1.813265,0.027518435394,50
1.813265,0.0024982362011,200
1.813265,0.00011195683402,1000
1.813265,undefined,5000
1.813265,undefined,25000
1.914286,0.032662950261,50
1.914286,0.0030603110475,200
1.914286,0.00013865798231,1000
1.914286,undefined,5000
1.914286,undefined,25000
2.015306,0.038286424161,50
2.015306,0.0037048483408,200
2.015306,0.00016979577094,1000
2.015306,undefined,5000
2.015306,undefined,25000
2.116327,0.044372816577,50
2.116327,0.0044374005875,200
2.116327,0.0002058121508,1000
2.116327,undefined,5000
2.116327,undefined,25000
2.217347,0.050901327151,50
2.217347,0.0052632562084,200
2.217347,0.00024716409478,1000
2.217347,undefined,5000
2.217347,undefined,25000
2.318367,0.057847141487,50
2.318367,0.0061873975979,200
2.318367,0.0002943225533,1000
2.318367,undefined,5000
2.318367,undefined,25000
2.419388,0.06518219923,50
2.419388,0.0072144636711,200
2.419388,0.00034777139914,1000
2.419388,undefined,5000
2.419388,undefined,25000
2.520408,0.072875943347,50
2.520408,0.0083487172978,200
2.520408,0.000408006321,1000
2.520408,undefined,5000
2.520408,undefined,25000
2.621429,0.080896027896,50
2.621429,0.0095940174081,200
2.621429,0.00047553374996,1000
2.621429,undefined,5000
2.621429,undefined,25000
2.722449,0.089208988744,50
2.722449,0.010953798062,200
2.722449,0.00055086973887,1000
2.722449,undefined,5000
2.722449,undefined,25000
2.823469,0.097780827666,50
2.823469,0.01243104881,200
2.823469,0.00063453873203,1000
2.823469,undefined,5000
2.823469,undefined,25000
2.92449,0.10657755732,50
2.92449,0.014028304118,200
2.92449,0.00072707265508,1000
2.92449,undefined,5000
2.92449,undefined,25000
3.02551,0.1155656411,50
3.02551,0.0157476355,200
3.02551,0.00082900956566,1000
3.02551,undefined,5000
3.02551,undefined,25000
3.126531,0.124712389,50
3.126531,0.017590646639,200
3.126531,0.00094089251362,1000
3.126531,undefined,5000
3.126531,undefined,25000
3.227551,0.13398626191,50
3.227551,0.01955847715,200
3.227551,0.0010632685863,1000
3.227551,undefined,5000
3.227551,undefined,25000
3.328571,0.14335714343,50
3.328571,0.021651806201,200
3.328571,0.001196687637,1000
3.328571,undefined,5000
3.328571,undefined,25000
3.429592,0.15279649236,50
3.429592,0.023870859838,200
3.429592,0.0013417011104,1000
3.429592,undefined,5000
3.429592,undefined,25000
3.530612,0.16227750817,50
3.530612,0.026215425789,200
3.530612,0.0014988609057,1000
3.530612,undefined,5000
3.530612,undefined,25000
3.631633,0.1717752076,50
3.631633,0.028684867683,200
3.631633,0.0016687186213,1000
3.631633,undefined,5000
3.631633,undefined,25000
3.732653,0.18126647687,50
3.732653,0.031278139489,200
3.732653,0.0018518239453,1000
3.732653,undefined,5000
3.732653,undefined,25000
3.833673,0.19073008868,50
3.833673,0.03399381002,200
3.833673,0.0020487239879,1000
3.833673,undefined,5000
3.833673,undefined,25000
3.934694,0.20014666736,50
3.934694,0.036830080775,200
3.934694,0.0022599618269,1000
3.934694,undefined,5000
3.934694,undefined,25000
4.035714,0.20949867406,50
4.035714,0.039784809452,200
4.035714,0.0024860761482,1000
4.035714,undefined,5000
4.035714,undefined,25000
4.136735,0.21877032897,50
4.136735,0.042855536188,200
4.136735,0.0027275995014,1000
