lambda,u4_qmc,u4_ed,eta
0.2,0.00016827925211,0.00011975073316,10
0.2,0.0000046674466759,0.0000063361605132,50
0.2,2.866867691e-7,4.1870413925e-7,200
0.2,5.0475631341e-8,6.7752664146e-8,500
0.25,0.00034074742654,0.00028826889194,10
0.25,0.000014369380439,0.000015416304905,50
0.25,7.515788959e-7,0.0000010213190186,200
0.25,1.1433516434e-7,1.6535254577e-7,500
0.3,0.00073543112964,0.00058762329837,10
0.3,0.000029224823995,0.000031834099405,50
0.3,0.0000014540836111,0.0000021155095831,200
0.3,2.4022603073e-7,3.4272501126e-7,500
0.35,0.0012210141419,0.0010670673679,10
0.35,0.00011502002206,0.000058687050316,50
0.35,0.0000077429429487,0.0000039142212287,200
0.35,4.8575463452e-7,6.3461214683e-7,500
0.38,0.0014941135866,0.0014629955397,10
0.38,0.000087019345681,0.000081276899935,50
0.38,0.0000083230183169,0.0000054341620939,200
0.38,6.4725229287e-7,8.8149386024e-7,500
0.4,0.0017212175744,0.0017792306359,10
0.4,0.00010780903785,0.000099552066288,50
0.4,0.0000045775590697,0.0000066676247689,200
0.4,7.301505357e-7,0.000001081974717,500
0.42,0.0023722014651,0.0021413244033,10
0.42,0.0001257769587,0.000120707402,50
0.42,0.0000057143191197,0.0000080993044912,200
0.42,8.7750268696e-7,0.0000013148040705,500
0.44,0.0025954443621,0.0025527085685,10
0.44,0.00014506096299,0.00014501833789,50
0.44,0.000011217699133,0.0000097491568619,200
0.44,0.0000010257984248,0.0000015832729986,500
0.45,0.0029158670091,0.0027779452928,10
0.45,0.00017010281433,0.00015844588528,50
0.45,0.00001630879674,0.000010662381278,200
0.45,0.0000011697639872,0.0000017319434167,500
0.46,0.0030848537802,0.0030167701533,10
0.46,0.00018946992859,0.00017276997373,50
0.46,0.000016918489622,0.000011638041154,200
0.46,0.0000013637510876,0.0000018908285025,500
0.48,0.0037314714943,0.0035368315174,10
0.48,0.00023586804805,0.00020425658523,50
0.48,0.000009306839428,0.000013787710554,200
0.48,0.0000015733570711,0.0000022410728389,500
0.5,0.0045971537653,0.0041161313474,10
0.5,0.00025537330139,0.00023978111808,50
0.5,0.000018787832845,0.000016220802021,200
0.5,0.0000016235566427,0.0000026377628446,500
0.52,0.0047556029769,0.0047578067089,10
0.52,0.00031126116232,0.0002796546701,50
0.52,0.000026165452475,0.000018960825722,200
0.52,0.000002038171779,0.000003084809224,500
0.54,0.0055225254082,0.0054648762629,10
0.54,0.00037511727638,0.00032419596277,50
0.54,0.000019245349293,0.000022032154103,200
0.54,0.0000077339903551,0.0000035862757964,500
0.55,0.0065756621734,0.0058438409684,10
0.55,0.00042255839101,0.00034831856469,50
0.55,0.000035521299987,0.000023699906937,200
0.55,0.0000027244863802,0.0000038587282838,500
0.56,0.0060299153048,0.0062402247343,10
0.56,0.00039774608512,0.00037373080327,50
0.56,0.000060867514203,0.00002546001056,200
0.56,0.0000080451247214,0.0000041463787429,500
0.58,0.004391339233,0.0070865886996,10
0.58,0.00054739478579,0.00042859153834,50
0.58,0.000023845310496,0.000029270457737,200
0.58,0.000003350107726,0.0000047694857965,500
0.6,0.0056951554684,0.0080065437515,10
0.6,0.00058800093894,0.00048911650106,50
0.6,0.000046096751796,0.000033490385465,200
0.6,0.0000080927651896,0.0000054601154106,500
0.65,0.0089396026822,0.010643712316,10
0.65,0.00083427036214,0.00066747766151,50
0.65,0.000057693664894,0.000046015463917,200
0.65,0.0000097096612178,0.0000075131030344,500
0.7,0.013332411634,0.013787743995,10
0.7,0.0011271647076,0.00088889465476,50
0.7,0.000093632850872,0.000061729683929,200
0.7,0.0000071395267818,0.000010094688989,500
0.75,0.015857832449,0.017463231537,10
0.75,0.00085293028478,0.001158994551,50
0.75,0.0001060002034,0.000081117596888,200
0.75,0.0000088874529415,0.000013287599336,500
0.8,0.02219789508,0.02168657529,10
0.8,0.00078343474377,0.0014834833626,50
0.8,0.00011509992763,0.00010469237944,200
0.8,0.000020506775221,0.000017180191011,500
0.9,0.030449632276,0.031801326824,10
0.9,0.0020292672887,0.0023185181661,50
0.9,0.0002280597308,0.00016658957086,200
0.9,0.000021951153292,0.000027445371743,500
1,0.044643096483,0.044103304141,10
1,0.003414498142,0.0034391747225,50
1,-0.0003335936032,0.00025204212758,200
1,0.000044229034318,0.000041705607641,500
1.1,0.058970162234,0.058453224284,10
1.1,0.0046088362764,0.0048885573965,50
1.1,0.00040673894371,0.00036602908865,200
1.1,0.000061295709978,0.000060859098259,500
1.2,0.074051646486,0.074626379328,10
1.2,0.0068442790165,0.0067062704027,50
1.2,0.00069399098462,0.00051383288752,200
1.2,0.000097424989759,0.000085882701254,500
1.3,0.092267573349,0.09234091777,10
1.3,0.0069386740439,0.0089272209129,50
1.3,0.00080904539266,0.00070098221055,200
1.3,0.00011338117621,0.00011782743208,500
1.4,0.11105343415,0.11128491864,10
1.4,0.012220752806,0.011580685407,50
1.4,0.0010789054519,0.00093319330966,200
1.4,0.0001780205713,0.00015781365687,500
1.5,0.13142785841,0.13113954245,10
1.5,0.015355690518,0.014689652747,50
1.5,0.00142711634,0.0012163105849,200
1.5,0.00030050240869,0.00020702600852,500
2,0.23412756497,0.23426480967,10
2,0.037311858739,0.037403888762,50
2,0.0035419652666,0.0036016307571,200
2,0.00078824006237,0.00063675232518,500
