lambda,u4,eta
0.05,0.6666666644,50
0.05,1535.477892,200
0.1,0.666666657,50
0.1,1538.539758,200
0.2,0.666666631,50
0.2,1556.445325,200
0.3,0.6666665653,50
0.3,1559.016192,200
0.4,0.6666665168,50
0.4,1590.005425,200
0.45,0.6666664684,50
0.45,1577.421367,200
0.5,0.6666664222,50
0.5,1593.163183,200
0.55,0.6666663862,50
0.55,1614.347033,200
0.6,0.666666325,50
0.6,1621.201175,200
0.7,0.6666661548,50
0.7,1636.758083,200
0.8,0.6666659431,50
0.8,1692.89725,200
0.9,0.6666659987,50
0.9,1730.662683,200
1,0.6666657355,50
1,1773.676583,200
1.2,0.6666651168,50
1.2,1895.1905,200
1.5,0.6666644338,50
1.5,2180.28475,200
2,0.6666616779,50
2,3065.678317,200
2.5,0.6666616198,50
2.5,4170.869767,200
3,0.6666593411,50
3,5583.893992,200
4,0.6665903961,50
4,8836.193917,200
5,0.6660540425,50
5,12716.085925,200
6,0.6640171736,50
6,16558.19515,200
7,0.660003362,50
7,19897.573033,200
8,0.6526147471,50
8,23126.968208,200
10,0.6374037607,50
10,28445.5619,200
15,0.607496506,50
15,35977.374917,200
