lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
0.500000,2.4788927834e-1,-2.4055583687e-1,1.0198714031e0,2.5257084029e-4,9.9004595052e-1,5.7657042453e-2,2.4940929500e-1,-2.4374657836e-1,1.0049911083e0,1.6433869797e-5,9.9750306036e-1,5.8475755495e-2,2.4987840979e-1,-2.4467981509e-1,1.0009996350e0,6.6477588456e-7,9.9950012448e-1,5.8695798487e-2
0.601020,3.5820123901e-1,-2.3864027771e-1,1.0287137804e0,5.1834162840e-4,9.8564932852e-1,5.7176506697e-2,3.6037386425e-1,-2.4322689963e-1,1.0072116908e0,3.4158868793e-5,9.9639417170e-1,5.8353717256e-2,3.6104992181e-1,-2.4457362490e-1,1.0014443749e0,1.3866487032e-6,9.9927780912e-1,5.8671286727e-2
0.702041,4.8877574908e-1,-2.3639323965e-1,1.0391799744e0,9.4575792120e-4,9.8047117138e-1,5.6612629390e-2,4.9170225540e-1,-2.4261327338e-1,1.0098397794e0,6.3261164271e-5,9.9508339120e-1,5.8209591495e-2,4.9262182205e-1,-2.4444800691e-1,1.0019707263e0,2.5787117383e-6,9.9901476207e-1,5.8642289308e-2
0.803061,6.3962244331e-1,-2.3382457488e-1,1.0512705698e0,1.5825248334e-3,9.7452403561e-1,5.5967799249e-2,6.4339518174e-1,-2.4190640884e-1,1.0128753847e0,1.0766647716e-4,9.9357151920e-1,5.8043532159e-2,6.4459413639e-1,-2.4430299055e-1,1.0025786891e0,4.4098244426e-6,9.9871101551e-1,5.8608812438e-2
0.904082,8.1075217578e-1,-2.3094547174e-1,1.0649862259e0,2.4774742357e-3,9.6782228637e-1,5.5244736175e-2,8.1545350274e-1,-2.4110712125e-1,1.0163185198e0,1.7178085104e-4,9.9185947796e-1,5.7855716447e-2,8.1696694620e-1,-2.4413860970e-1,1.0032682636e0,7.0739228968e-6,9.9836660662e-1,5.8570863285e-2
1.005102,1.0021768589e0,-2.2776837732e-1,1.0803276658e0,3.6786307168e-3,9.6038203938e-1,5.4446474672e-2,1.0078781478e0,-2.4021633112e-1,1.0201691987e0,2.6043938459e-4,9.8994831070e-1,5.7646344544e-2,1.0097402358e0,-2.4395490295e-1,1.0040394498e0,1.0789547381e-5,9.9798157752e-1,5.8528449972e-2
1.106122,1.2139093937e0,-2.2430690784e-1,1.0972956739e0,5.2314264318e-3,9.5222109604e-1,5.3576345300e-2,1.2206701273e0,-2.3923506237e-1,1.0244274364e0,3.7885073679e-4,9.8783918055e-1,5.7415639318e-2,1.2229140667e0,-2.4375191326e-1,1.0048922479e0,1.5799316462e-5,9.9755597532e-1,5.8481581575e-2
1.207143,1.4459634277e0,-2.2057575756e-1,1.1158910784e0,7.1771387188e-3,9.4335887214e-1,5.2637954237e-2,1.4538306311e0,-2.3816443946e-1,1.0290932510e0,5.3253832049e-4,9.8553336938e-1,5.7163845985e-2,1.4564885024e0,-2.4352968806e-1,1.0058266579e0,2.2369341242e-5,9.9708985206e-1,5.8430268123e-2
1.308163,1.6983533390e0,-2.1659059216e-1,1.1361147538e0,9.5516077242e-3,9.3381632062e-1,5.1635161085e-2,1.7073609070e0,-2.3700568649e-1,1.0341666613e0,7.2727889321e-4,9.8303227647e-1,5.6891231745e-2,1.7104635939e0,-2.4328827932e-1,1.0068426802e0,3.0788585467e-5,9.9658326472e-1,5.8374520590e-2
1.409184,1.9710939132e0,-2.1236794769e-1,1.1579675975e0,1.2384262057e-2,9.2361584872e-1,5.0572055056e-2,1.9812622246e0,-2.3576012524e-1,1.0396476861e0,9.6903956755e-4,9.8033741714e-1,5.6598085369e-2,1.9848392065e0,-2.4302774383e-1,1.0079403141e0,4.1368166050e-5,9.9603627518e-1,5.8314350892e-2
