lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
0.500000,2.4278852563e-1,-7.5023136829e-1,1.0195653980e0,2.4383943702e-4,9.9004595052e-1,4.1792660966e-1,2.4812192234e-1,-7.5866929173e-1,1.0049717979e0,1.6288271502e-5,9.9750306036e-1,4.1947091089e-1,2.4962024707e-1,-7.6100454232e-1,1.0009988605e0,6.6359003659e-7,9.9950012448e-1,4.1987410511e-1
0.601020,3.5087600932e-1,-7.4521676175e-1,1.0282743235e0,5.0066063033e-4,9.8564932852e-1,4.1698739519e-1,3.5851655135e-1,-7.5737072824e-1,1.0071838313e0,3.3857265069e-5,9.9639417170e-1,4.1924514192e-1,3.6067701478e-1,-7.6074233251e-1,1.0014432562e0,1.3841768526e-6,9.9927780912e-1,4.1982943768e-1
0.702041,4.7885330566e-1,-7.3931431684e-1,1.0385847041e0,9.1400230012e-4,9.8047117138e-1,4.1585384593e-1,4.8917265352e-1,-7.5583603317e-1,1.0098018356e0,6.2704854488e-5,9.9508339120e-1,4.1897652474e-1,4.9211320210e-1,-7.6043209430e-1,1.0019692004e0,2.5741186139e-6,9.9901476207e-1,4.1977651640e-1
0.803061,6.2674764917e-1,-7.3254030266e-1,1.0504981800e0,1.5303435728e-3,9.7452403561e-1,4.1451534587e-1,6.4009205908e-1,-7.5406629424e-1,1.0128258382e0,1.0672407125e-4,9.9357151920e-1,4.1866435112e-1,6.4392887812e-1,-7.6007387205e-1,1.0025766933e0,4.4019770883e-6,9.9871101551e-1,4.1971531247e-1
0.904082,7.9459001639e-1,-7.2491346769e-1,1.0640166175e0,2.3974384849e-3,9.6782228637e-1,4.1296000093e-1,8.1127693159e-1,-7.5206276630e-1,1.0162558718e0,1.7028516204e-4,9.9185947796e-1,4.1830780865e-1,8.1612419553e-1,-7.5966771684e-1,1.0032657354e0,7.0613483127e-6,9.9836660662e-1,4.1964579267e-1
1.005102,9.8241484908e-1,-7.1645501981e-1,1.0791420911e0,3.5624658887e-3,9.6038203938e-1,4.1117480072e-1,1.0027296597e0,-7.4982687194e-1,1.0200919721e0,2.5818506508e-4,9.8994831070e-1,4.1790598318e-1,1.0086991747e0,-7.5921368687e-1,1.0040363266e0,1.0770390726e-5,9.9798157752e-1,4.1956791937e-1
1.106122,1.1902598934e0,-7.0718859521e-1,1.0958768755e0,5.0703097322e-3,9.5222109604e-1,4.0914580311e-1,1.2144528726e0,-7.4736020081e-1,1.0243341783e0,3.7559270852e-4,9.8783918055e-1,4.1745786161e-1,1.2216539501e0,-7.5871184703e-1,1.0048884675e0,1.5771301893e-5,9.9755597532e-1,4.1948165057e-1
1.207143,1.4181657818e0,-6.9714022951e-1,1.1142234175e0,6.9620394105e-3,9.4335887214e-1,4.0685834158e-1,1.4464495782e0,-7.4466450766e-1,1.0289825360e0,5.2799105068e-4,9.8553336938e-1,4.1696233499e-1,1.4549886645e0,-7.5816226906e-1,1.0058221584e0,2.2329734252e-5,9.9708985206e-1,4.1938693990e-1
1.308163,1.6661759185e0,-6.8633830855e-1,1.1341843332e0,9.2736471208e-3,9.3381632062e-1,4.0429725475e-1,1.6987229912e0,-7.4174171332e-1,1.0340370936e0,7.2111647898e-4,9.8303227647e-1,4.1641820204e-1,1.7087034474e0,-7.5756503159e-1,1.0068373998e0,3.0734156952e-5,9.9658326472e-1,4.1928373670e-1
1.409184,1.9343359124e0,-6.7481352659e-1,1.1557623682e0,1.2035069256e-2,9.2361584872e-1,4.0144713731e-1,1.9712764809e0,-7.3859390451e-1,1.0394979012e0,9.6089662063e-4,9.8033741714e-1,4.1582417293e-1,1.9827981710e0,-7.5692022061e-1,1.0079341910e0,4.1295155394e-5,9.9603627518e-1,4.1917198596e-1
1.510204,2.2226935117e0,-6.6259881473e-1,1.1789604007e0,1.5269513351e-2,9.1278123009e-1,3.9829261055e-1,2.2641138062e0,-7.3522333063e-1,1.0453650155e0,1.2533877057e-3,9.7745042119e-1,4.1517887346e-1,2.2772737648e0,-7.5622792692e-1,1.0091125355e0,5.4344745733e-5,9.9544895030e-1,4.1905162844e-1
1.611224,2.5312978687e0,-6.4972928216e-1,1.2037813886e0,1.8993074707e-2,9.0133751226e-1,3.9481861067e-1,2.5772388726e0,-7.3163240522e-1,1.0516384949e0,1.6047116830e-3,9.7437303124e-1,4.1448084960e-1,2.5921295320e0,-7.5548825135e-1,1.0103724304e0,7.0235475809e-5,9.9482136177e-1,4.1892260066e-1
1.712245,2.8601996500e0,-6.3624211329e-1,1.2302283873e0,2.3214639726e-2,8.8931092003e-1,3.9101069201e-1,2.9106559000e0,-7.2782370328e-1,1.0583184032e0,2.0209946651e-3,9.7110710101e-1,4.1372857236e-1,2.9273661049e0,-7.5470129896e-1,1.0117138780e0,8.9339719265e-5,9.9415358621e-1,4.1878483494e-1
1.813265,3.2094500068e0,-6.2217649189e-1,1.2583044745e0,2.7936022302e-2,8.7672875527e-1,3.8685534152e-1,3.2643692758e0,-7.2379996156e-1,1.0654048060e0,2.5083067842e-3,9.6765459347e-1,4.1292044304e-1,3.2829835280e0,-7.5386718282e-1,1.0131368784e0,1.1204871526e-4,9.9344570508e-1,4.1863825946e-1
1.914286,3.5791006262e0,-6.0757347097e-1,1.2880127634e0,3.3152322045e-2,8.6361929374e-1,3.8234030050e-1,3.6383836071e0,-7.1956407684e-1,1.0728977724e0,3.0726046914e-3,9.6401757882e-1,4.1205479884e-1,3.6589820658e0,-7.5298602238e-1,1.0146414324e0,1.3877169446e-4,9.9269780472e-1,4.1848279828e-1
2.015306,3.9692032345e0,-5.9247584661e-1,1.3193563716e0,3.8852442625e-2,8.5001167935e-1,3.7745488832e-1,4.0327037553e0,-7.1511910418e-1,1.0807973757e0,3.7196771417e-3,9.6019823246e-1,4.1112991877e-1,4.0553619202e0,-7.5205794404e-1,1.0162275405e0,1.6993491281e-4,9.9190997628e-1,4.1831837142e-1
2.116327,4.3798088448e0,-5.7692802327e-1,1.3523383691e0,4.5019729443e-2,8.3593581653e-1,3.7219032260e-1,4.4473347605e0,-7.1046825619e-1,1.0891036915e0,4.4550940323e-3,9.5619883282e-1,4.1014403005e-1,4.4721233091e0,-7.5108308098e-1,1.0178952035e0,2.0598067195e-4,9.9108231577e-1,4.1814489484e-1
2.217347,4.8109677092e0,-5.6097583791e-1,1.3869617840e0,5.1632699872e-2,8.2142226122e-1,3.6654002944e-1,4.8822817967e0,-7.0561490186e-1,1.0978167972e0,5.2841595355e-3,9.5202175908e-1,4.0909531468e-1,4.9092664733e0,-7.5006157311e-1,1.0196444220e0,2.4736630568e-4,9.9021492393e-1,4.1796228058e-1
2.318367,5.2627285291e0,-5.4466639175e-1,1.4232295478e0,5.8665807015e-2,8.0650211105e-1,3.6049993683e-1,5.3375502680e0,-7.0056256385e-1,1.1069367741e0,6.2118699665e-3,9.4766948882e-1,4.0798191653e-1,5.3667916415e0,-7.4899356720e-1,1.0214751968e0,2.9456313491e-4,9.8930790634e-1,4.1777043676e-1
2.419388,5.7351382431e0,-5.2804784548e-1,1.4611444873e0,6.6090223685e-2,7.9120689518e-1,3.5406874407e-1,5.8131457752e0,-6.9531491698e-1,1.1164637063e0,7.2428761972e-3,9.4314459558e-1,4.0680194866e-1,5.8446991108e0,-7.4787921662e-1,1.0233875287e0,3.4805541029e-4,9.8836137331e-1,4.1756926762e-1
2.520408,6.2282415980e0,-5.1116920520e-1,1.5007092987e0,7.3874607200e-2,7.7556846447e-1,3.4724815995e-1,6.3090740742e0,-6.8987578655e-1,1.1263976804e0,8.3814509857e-3,9.3844974630e-1,4.0555350103e-1,6.3429890806e0,-7.4671868172e-1,1.0253814183e0,4.0833920719e-4,9.8737543987e-1,4.1735867366e-1
2.621429,6.7420804650e0,-4.9408010025e-1,1.5419265010e0,8.1985822374e-2,7.5961888240e-1,3.4004310220e-1,6.8253409171e0,-6.8424914762e-1,1.1367387822e0,9.6314610560e-3,9.3358769873e-1,4.0423464850e-1,6.8616618830e0,-7.4551212933e-1,1.0274568667e0,4.7592134751e-4,9.8635022578e-1,4.1713855159e-1
2.722449,7.2766939642e0,-4.7683052159e-1,1.5847984538e0,9.0389623452e-2,7.4339031732e-1,3.3246185161e-1,7.3619525626e0,-6.7843911787e-1,1.1474871067e0,1.0996345918e-2,9.2856129871e-1,4.0284345918e-1,7.4007179249e0,-7.4425973289e-1,1.0296138751e0,5.5131827832e-4,9.8528585551e-1,4.1690879451e-1
2.823469,7.8321173877e0,-4.5947058440e-1,1.6293272780e0,9.9051252014e-2,7.2691493643e-1,3.2451615422e-1,7.9189149555e0,-6.7244996277e-1,1.1586427422e0,1.2479098495e-2,9.2337347740e-1,4.0137800302e-1,7.9601570900e0,-7.4296167355e-1,1.0318524429e0,6.3505485286e-4,9.8418245810e-1,4.1666929187e-1
