lambda,n_omega50,n_over_eta_omega50,n_omega100,n_over_eta_omega100,n_omega500,n_over_eta_omega500,n_omega1000,n_over_eta_omega1000
0.10000000,0.0001922366,0.0000038447,0.0000980300,0.0000009803,0.0000199202,0.0000000398,0.0000099800,0.0000000100
0.12481203,0.0002994698,0.0000059894,0.0001527117,0.0000015271,0.0000310318,0.0000000621,0.0000155469,0.0000000155
0.14962406,0.0004303756,0.0000086075,0.0002194644,0.0000021946,0.0000445961,0.0000000892,0.0000223427,0.0000000223
0.17443609,0.0005849554,0.0000116991,0.0002982876,0.0000029829,0.0000606132,0.0000001212,0.0000303673,0.0000000304
0.19924812,0.0007632113,0.0000152642,0.0003891818,0.0000038918,0.0000790829,0.0000001582,0.0000396205,0.0000000396
0.22406015,0.0009651449,0.0000193029,0.0004921473,0.0000049215,0.0001000056,0.0000002000,0.0000501029,0.0000000501
0.24887218,0.0011907592,0.0000238152,0.0006071843,0.0000060718,0.0001233807,0.0000002468,0.0000618138,0.0000000618
0.27368421,0.0014400558,0.0000288011,0.0007342934,0.0000073429,0.0001492088,0.0000002984,0.0000747535,0.0000000748
0.29849624,0.0017130384,0.0000342608,0.0008734745,0.0000087347,0.0001774894,0.0000003550,0.0000889221,0.0000000889
0.32330827,0.0020097093,0.0000401942,0.0010247281,0.0000102473,0.0002082229,0.0000004164,0.0001043195,0.0000001043
0.34812030,0.0023300728,0.0000466015,0.0011880554,0.0000118806,0.0002414091,0.0000004828,0.0001209458,0.0000001209
0.37293233,0.0026741317,0.0000534826,0.0013634557,0.0000136346,0.0002770481,0.0000005541,0.0001388009,0.0000001388
0.39774436,0.0030418900,0.0000608378,0.0015509302,0.0000155093,0.0003151401,0.0000006303,0.0001578847,0.0000001579
0.42255639,0.0034333530,0.0000686671,0.0017504791,0.0000175048,0.0003556843,0.0000007114,0.0001781975,0.0000001782
0.44736842,0.0038485239,0.0000769705,0.0019621039,0.0000196210,0.0003986824,0.0000007974,0.0001997386,0.0000001997
0.47218045,0.0042874071,0.0000857481,0.0021858038,0.0000218580,0.0004441320,0.0000008883,0.0002225093,0.0000002225
0.49699248,0.0047500070,0.0000950001,0.0024215807,0.0000242158,0.0004920349,0.0000009841,0.0002465085,0.0000002465
0.52180451,0.0052363309,0.0001047266,0.0026694345,0.0000266943,0.0005423900,0.0000010848,0.0002717365,0.0000002717
0.54661654,0.0057463846,0.0001149277,0.0029293660,0.0000292937,0.0005951995,0.0000011904,0.0002981933,0.0000002982
0.57142857,0.0062801697,0.0001256034,0.0032013764,0.0000320138,0.0006504602,0.0000013009,0.0003258790,0.0000003259
0.59624060,0.0068376958,0.0001367539,0.0034854657,0.0000348547,0.0007081742,0.0000014163,0.0003547936,0.0000003548
0.62105263,0.0074189684,0.0001483794,0.0037816355,0.0000378164,0.0007683416,0.0000015367,0.0003849367,0.0000003849
0.64586466,0.0080239923,0.0001604798,0.0040898859,0.0000408989,0.0008309613,0.0000016619,0.0004163088,0.0000004163
0.67067669,0.0086527754,0.0001730555,0.0044102188,0.0000441022,0.0008960335,0.0000017921,0.0004489098,0.0000004489
0.69548872,0.0093053263,0.0001861065,0.0047426340,0.0000474263,0.0009635585,0.0000019271,0.0004827395,0.0000004827
0.72030075,0.0099816486,0.0001996330,0.0050871318,0.0000508713,0.0010335371,0.0000020671,0.0005177979,0.0000005178
0.74511278,0.0106817510,0.0002136350,0.0054437171,0.0000544372,0.0011059682,0.0000022119,0.0005540854,0.0000005541
0.76992481,0.0114056421,0.0002281128,0.0058123877,0.0000581239,0.0011808515,0.0000023617,0.0005916016,0.0000005916
0.79473684,0.0121533290,0.0002430666,0.0061931432,0.0000619314,0.0012581885,0.0000025164,0.0006303469,0.0000006303
0.81954887,0.0129248197,0.0002584964,0.0065859870,0.0000658599,0.0013379778,0.0000026760,0.0006703205,0.0000006703
0.84436090,0.0137201242,0.0002744025,0.0069909199,0.0000699092,0.0014202203,0.0000028404,0.0007115236,0.0000007115
0.86917293,0.0145392480,0.0002907850,0.0074079440,0.0000740794,0.0015049155,0.0000030098,0.0007539552,0.0000007540
0.89398496,0.0153822016,0.0003076440,0.0078370575,0.0000783706,0.0015920638,0.0000031841,0.0007976156,0.0000007976
0.91879699,0.0162489935,0.0003249799,0.0082782643,0.0000827826,0.0016816652,0.0000033633,0.0008425049,0.0000008425
0.94360902,0.0171396326,0.0003427927,0.0087315657,0.0000873157,0.0017737192,0.0000035474,0.0008886230,0.0000008886
0.96842105,0.0180541297,0.0003610826,0.0091969612,0.0000919696,0.0018682264,0.0000037365,0.0009359701,0.0000009360
0.99323308,0.0189924927,0.0003798499,0.0096744524,0.0000967445,0.0019651862,0.0000039304,0.0009845458,0.0000009845
1.01804511,0.0199547324,0.0003990946,0.0101640423,0.0001016404,0.0020645989,0.0000041292,0.0010343500,0.0000010344
1.04285714,0.0209408586,0.0004188172,0.0106657311,0.0001066573,0.0021664652,0.0000043329,0.0010853842,0.0000010854
1.06766917,0.0219508802,0.0004390176,0.0111795201,0.0001117952,0.0022707841,0.0000045416,0.0011376462,0.0000011376
1.09248120,0.0229848088,0.0004596962,0.0117054095,0.0001170541,0.0023775559,0.0000047551,0.0011911374,0.0000011911
1.11729323,0.0240426586,0.0004808532,0.0122434032,0.0001224340,0.0024867799,0.0000049736,0.0012458574,0.0000012459
1.14210526,0.0251244299,0.0005024886,0.0127935011,0.0001279350,0.0025984584,0.0000051969,0.0013018066,0.0000013018
1.16691729,0.0262301420,0.0005246028,0.0133557045,0.0001335570,0.0027125893,0.0000054252,0.0013589845,0.0000013590
1.19172932,0.0273598059,0.0005471961,0.0139300158,0.0001393002,0.0028291736,0.0000056583,0.0014173908,0.0000014174
1.21654135,0.0285134311,0.0005702686,0.0145164381,0.0001451644,0.0029482111,0.0000058964,0.0014770267,0.0000014770
1.24135338,0.0296910286,0.0005938206,0.0151149699,0.0001511497,0.0030697018,0.0000061394,0.0015378901,0.0000015379
1.26616541,0.0308926110,0.0006178522,0.0157256173,0.0001572562,0.0031936441,0.0000063873,0.0015999835,0.0000016000
1.29097744,0.0321181893,0.0006423638,0.0163483728,0.0001634837,0.0033200414,0.0000066401,0.0016633060,0.0000016633
