lambda,n_omega50,n_err_omega50,ntilde_omega50,n_omega200,n_err_omega200,ntilde_omega200,n_omega1000,n_err_omega1000,ntilde_omega1000
0.100000,0.0001718750,0.0046599625,0.0085937500,0.0000333333,0.0020409693,0.0066666667,0.0000052083,0.0008068547,0.0052083333
0.300000,0.0016770833,0.0144625917,0.0838541667,0.0004375000,0.0073821470,0.0875000000,0.0000833333,0.0032264101,0.0833333333
0.500000,0.0048520833,0.0245829589,0.2426041667,0.0012468750,0.0124533501,0.2493750000,0.0002218750,0.0052616677,0.2218750000
0.700000,0.0094760417,0.0345004748,0.4738020833,0.0024583333,0.0175578904,0.4916666667,0.0005281250,0.0081078178,0.5281250000
1.000000,0.0193645833,0.0492126804,0.9682291667,0.0050385417,0.0251195801,1.0077083333,0.0009812500,0.0110432701,0.9812500000
1.500000,0.0431489583,0.0732718660,2.1574479167,0.0111239583,0.0374003154,2.2247916667,0.0022197917,0.0167205781,2.2197916667
2.000000,0.0779156250,0.0984190878,3.8957812500,0.0198729167,0.0499621158,3.9745833333,0.0039864583,0.0223867247,3.9864583333
3.000000,0.1754354167,0.1480789063,8.7717708333,0.0445208333,0.0744558705,8.9041666667,0.0088812500,0.0333389859,8.8812500000
4.000000,0.3135166667,0.1991871705,15.6758333333,0.0790302083,0.0994774478,15.8060416667,0.0161312500,0.0449066330,16.1312500000
4.500000,0.3968958333,0.2222944968,19.8447916667,0.1005312500,0.1122496245,20.1062500000,0.0201270833,0.0501700701,20.1270833333
5.000000,0.4924916667,0.2481738091,24.6245833333,0.1234302083,0.1241104151,24.6860416667,0.0247760417,0.0557508114,24.7760416667
5.250000,0.5437812500,0.2622739584,27.1890625000,0.1366875000,0.1308958168,27.3375000000,0.0277781250,0.0590472599,27.7781250000
5.500000,0.5973291667,0.2729248446,29.8664583333,0.1499979167,0.1371324633,29.9995833333,0.0302197917,0.0614043007,30.2197916667
5.750000,0.6537166667,0.2879947535,32.6858333333,0.1642343750,0.1430066369,32.8468750000,0.0327541667,0.0638037191,32.7541666667
6.000000,0.7136843750,0.3003406111,35.6842187500,0.1786260417,0.1491770926,35.7252083333,0.0356937500,0.0667993572,35.6937500000
6.500000,0.8389062500,0.3251956167,41.9453125000,0.2097281250,0.1617061508,41.9456250000,0.0421968750,0.0726813235,42.1968750000
7.000000,0.9743687500,0.3491378033,48.7184375000,0.2442135417,0.1752623962,48.8427083333,0.0487520833,0.0778691142,48.7520833333
7.500000,1.1183687500,0.3741108006,55.9184375000,0.2799375000,0.1869696562,55.9875000000,0.0559145833,0.0834891273,55.9145833333
8.000000,1.2764927083,0.3999616986,63.8246354167,0.3199875000,0.1997737779,63.9975000000,0.0637562500,0.0891583035,63.7562500000
8.500000,1.4433020833,0.4250330041,72.1651041667,0.3594302083,0.2124832183,71.8860416667,0.0719510417,0.0949835550,71.9510416667
9.000000,1.6170281250,0.4518306124,80.8514062500,0.4035791667,0.2251889299,80.7158333333,0.0807927083,0.1005402684,80.7927083333
9.500000,1.8036354167,0.4756988416,90.1817708333,0.4499416667,0.2379341355,89.9883333333,0.0896864583,0.1059970549,89.6864583333
10.000000,1.9987458333,0.4998127149,99.9372916667,0.4973958333,0.2492854154,99.4791666667,0.1002791667,0.1120724523,100.2791666667
11.000000,2.4199729167,0.5505088454,120.9986458333,0.6014614583,0.2753009236,120.2922916667,0.1208479167,0.1230872395,120.8479166667
12.000000,2.8769125000,0.5998285247,143.8456250000,0.7201510417,0.3002391462,144.0302083333,0.1437208333,0.1340166702,143.7208333333
