lambda,u4n_qmc_eta10,u4n_ed_eta10,n_mean_eta10,u4n_qmc_eta50,u4n_ed_eta50,n_mean_eta50,u4n_qmc_eta200,u4n_ed_eta200,n_mean_eta200,u4n_qmc_eta500,u4n_ed_eta500,n_mean_eta500
0.200000,-1.3164981757e1,-1.0104236127e2,3.2262500000e-3,-4.9604754084e1,-4.3354234407e2,8.2500000000e-4,-1.9793468933e2,-1.6833943042e3,2.0875000000e-4,-4.9584599463e2,-4.1833779490e3,8.3750000000e-5
0.205000,-1.2287701134e1,-9.6183412996e1,3.3900000000e-3,-4.9683696634e1,-4.1265378061e2,8.2375000000e-4,-1.9674659269e2,-1.6022794157e3,2.1000000000e-4,-4.9584599463e2,-3.9817995495e3,8.3750000000e-5
0.210000,-1.1344153080e1,-9.1667362423e1,3.6650000000e-3,-4.6022851885e1,-3.9323942110e2,8.7375000000e-4,-2.2055605631e2,-1.5268891886e3,1.8750000000e-4,-3.9515901039e2,-3.7944474914e3,1.0500000000e-4
0.215000,-1.1322960135e1,-8.7462685522e1,3.7887500000e-3,-4.7952394516e1,-3.7516373781e2,8.8625000000e-4,-1.8559984533e2,-1.4566973388e3,2.2250000000e-4,-4.8852963859e2,-3.6200139075e3,8.5000000000e-5
0.220000,-9.8139131921e0,-8.3541399347e1,4.0575000000e-3,-4.3053401528e1,-3.5830642681e2,9.6750000000e-4,-1.7104554959e2,-1.3912366995e3,2.4125000000e-4,-3.5675658269e2,-3.4573378425e3,1.1625000000e-4
0.225000,-1.0084671285e1,-7.9878595212e1,4.2212500000e-3,-4.3105329260e1,-3.4256040097e2,9.9875000000e-4,-1.7015528710e2,-1.3300914276e3,2.4250000000e-4,-3.8593051947e2,-3.3053858861e3,1.0750000000e-4
0.230000,-9.3608787835e0,-7.6452042134e1,4.3462500000e-3,-3.9309137765e1,-3.2783008510e2,1.0412500000e-3,-1.5631192125e2,-1.2728903835e3,2.6375000000e-4,-3.4555587586e2,-3.1632357199e3,1.2000000000e-4
0.235000,-9.3505070980e0,-7.3241848687e1,4.5625000000e-3,-3.9511382407e1,-3.1402996222e2,1.0362500000e-3,-1.6500066800e2,-1.2193014857e3,2.5000000000e-4,-3.6870400397e2,-3.0300620894e3,1.1250000000e-4
0.240000,-8.9843958032e0,-7.0230173650e1,4.7375000000e-3,-3.8882425405e1,-3.0108332953e2,1.0400000000e-3,-1.3220297397e2,-1.1690268803e3,3.1125000000e-4,-3.6463400324e2,-2.9051247984e3,1.1375000000e-4
0.245000,-8.5825823512e0,-6.7400977558e1,4.8762500000e-3,-3.4925506541e1,-2.8892123033e2,1.1862500000e-3,-1.4263424942e2,-1.1217987932e3,2.8875000000e-4,-3.5675658269e2,-2.7877584022e3,1.1625000000e-4
0.250000,-8.0586219423e0,-6.4739808686e1,5.1525000000e-3,-3.3832435607e1,-2.7748153391e2,1.1862500000e-3,-1.3438857377e2,-1.0773759571e3,3.0625000000e-4,-3.4197626866e2,-2.6773633279e3,1.2125000000e-4
0.255000,-7.7533245352e0,-6.2233618115e1,5.4425000000e-3,-3.4575009604e1,-2.6670814048e2,1.2400000000e-3,-1.2459684193e2,-1.0355405239e3,3.3000000000e-4,-2.9331896116e2,-2.5733982021e3,1.4125000000e-4
0.260000,-7.5313556472e0,-5.9870599441e1,5.4262500000e-3,-2.9021172736e1,-2.5655029206e2,1.3825000000e-3,-1.2829121177e2,-9.9609538924e2,3.3250000000e-4,-3.0986017013e2,-2.4753732011e3,1.3375000000e-4
0.265000,-6.8811889675e0,-5.7640049465e1,5.9812500000e-3,-3.1704080739e1,-2.4696197353e2,1.2850000000e-3,-1.5513209596e2,-9.5886186622e2,2.9750000000e-4,-3.3166700033e2,-2.3828442705e3,1.2500000000e-4
0.270000,-6.7592009343e0,-5.5532246760e1,6.0500000000e-3,-2.8985065268e1,-2.3790139061e2,1.4075000000e-3,-1.3113629694e2,-9.2367765835e2,3.1375000000e-4,-2.7843209650e2,-2.2954080877e3,1.6000000000e-4
0.275000,-6.3264190786e0,-5.3538345556e1,6.3087500000e-3,-2.8543097201e1,-2.2933051363e2,1.4387500000e-3,-1.2234598413e2,-8.9039508798e2,3.6875000000e-4,-2.6288401841e2,-2.2126976594e3,1.5750000000e-4
0.280000,-6.6000009995e0,-5.1650282767e1,6.4212500000e-3,-2.6937556814e1,-2.2121467780e2,1.5700000000e-3,-1.0282760801e2,-8.5887954411e2,3.9875000000e-4,-2.3642903875e2,-2.1343784641e3,1.7500000000e-4
0.285000,-6.1323370104e0,-4.9860696337e1,6.6212500000e-3,-2.4982654992e1,-2.1352223223e2,1.5762500000e-3,-9.7996612054e1,-8.2900811922e2,4.4125000000e-4,-2.5278669678e2,-2.0601450648e3,1.6375000000e-4
0.290000,-5.6715366021e0,-4.8162853349e1,7.0500000000e-3,-2.4359214485e1,-2.0622423077e2,1.7050000000e-3,-1.0315619965e2,-8.0066840909e2,3.9750000000e-4,-2.7611151159e2,-1.9897181258e3,1.5000000000e-4
0.295000,-5.7916951767e0,-4.6550586599e1,7.2962500000e-3,-2.6229536684e1,-1.9929415939e2,1.7087500000e-3,-9.1444400600e1,-7.7375745384e2,4.4750000000e-4,-3.0136400343e2,-1.9228417820e3,1.3750000000e-4
0.300000,-5.6867612764e0,-4.5018238495e1,7.3737500000e-3,-2.4727269909e1,-1.9270769500e2,1.6500000000e-3,-9.0582144056e1,-7.4818080145e2,4.6375000000e-4,-2.3642903875e2,-1.8592813108e3,1.7500000000e-4
