lambda,n_qmc_eta10,n_err_eta10,n_ed_eta10,ntilde_qmc_eta10,ntilde_ed_eta10,n_qmc_eta50,n_err_eta50,n_ed_eta50,ntilde_qmc_eta50,ntilde_ed_eta50,n_qmc_eta200,n_err_eta200,n_ed_eta200,ntilde_qmc_eta200,ntilde_ed_eta200,n_qmc_eta500,n_err_eta500,n_ed_eta500,ntilde_qmc_eta500,ntilde_ed_eta500
0.200000,3.2468750000e-3,7.1124202784e-5,3.3102493917e-3,3.2468750000e-2,3.3102493917e-2,8.1406250000e-4,3.5548402697e-5,7.6897900934e-4,4.0703125000e-2,3.8448950467e-2,2.1718750000e-4,1.8537762840e-5,1.9801459384e-4,4.3437500000e-2,3.9602918769e-2,7.6562500000e-5,1.0934149878e-5,7.9680552169e-5,3.8281250000e-2,3.9840276085e-2
0.220000,4.0562500000e-3,7.9422964716e-5,4.0065342907e-3,4.0562500000e-2,4.0065342907e-2,9.3281250000e-4,3.8034757680e-5,9.3047666030e-4,4.6640625000e-2,4.6523833015e-2,2.1718750000e-4,1.8405592591e-5,2.3959785795e-4,4.3437500000e-2,4.7919571591e-2,9.0625000000e-5,1.1895331074e-5,9.6413481033e-5,4.5312500000e-2,4.8206740517e-2
0.240000,4.8171875000e-3,8.6774178337e-5,4.7695815416e-3,4.8171875000e-2,4.7695815416e-2,1.1281250000e-3,4.1911246847e-5,1.1073598376e-3,5.6406250000e-2,5.5367991882e-2,2.7187500000e-4,2.0588364124e-5,2.8514151233e-4,5.4375000000e-2,5.7028302465e-2,1.1718750000e-4,1.3525302487e-5,1.1474002731e-4,5.8593750000e-2,5.7370013655e-2
0.260000,5.6625000000e-3,9.4293124667e-5,5.5995128585e-3,5.6625000000e-2,5.5995128585e-2,1.2921875000e-3,4.4810007108e-5,1.2996298469e-3,6.4609375000e-2,6.4981492347e-2,3.3593750000e-4,2.2879940312e-5,3.3464557860e-4,6.7187500000e-2,6.6929115720e-2,1.1250000000e-4,1.3252284591e-5,1.3466019240e-4,5.6250000000e-2,6.7330096200e-2
0.280000,6.4421875000e-3,1.0007944705e-4,6.4964601580e-3,6.4421875000e-2,6.4964601580e-2,1.4640625000e-3,4.7803956230e-5,1.5072881061e-3,7.3203125000e-2,7.5364405307e-2,3.2968750000e-4,2.2666672576e-5,3.8811008029e-4,6.5937500000e-2,7.7622016059e-2,1.7187500000e-4,1.6376367876e-5,1.5617397783e-4,8.5937500000e-2,7.8086988915e-2
0.300000,7.4656250000e-3,1.0850810415e-4,7.4605654629e-3,7.4656250000e-2,7.4605654629e-2,1.6812500000e-3,5.1147186315e-5,1.7303361451e-3,8.4062500000e-2,8.6516807256e-2,4.4687500000e-4,2.6376997018e-5,4.4553504279e-4,8.9375000000e-2,8.9107008559e-2,2.1093750000e-4,1.8139285016e-5,1.7928138524e-4,1.0546875000e-1,8.9640692621e-2
0.320000,8.5171875000e-3,1.1504905636e-4,8.4919808003e-3,8.5171875000e-2,8.4919808003e-2,1.9984375000e-3,5.5957398423e-5,1.9687756054e-3,9.9921875000e-2,9.8438780271e-2,5.3906250000e-4,2.9127623084e-5,5.0692049337e-4,1.0781250000e-1,1.0138409867e-1,2.0937500000e-4,1.8072090744e-5,2.0398241640e-4,1.0468750000e-1,1.0199120820e-1
0.340000,9.6750000000e-3,1.2313788004e-4,9.5908680900e-3,9.6750000000e-2,9.5908680900e-2,2.1031250000e-3,5.7353616956e-5,2.2226082399e-3,1.0515625000e-1,1.1113041200e-1,5.5468750000e-4,2.9374363669e-5,5.7226646116e-4,1.1093750000e-1,1.1445329223e-1,2.2031250000e-4,1.8537301888e-5,2.3027707320e-4,1.1015625000e-1,1.1513853660e-1
0.360000,1.0821875000e-2,1.3011395950e-4,1.0757399027e-2,1.0821875000e-1,1.0757399027e-1,2.4515625000e-3,6.1836872476e-5,2.4918359123e-3,1.2257812500e-1,1.2459179562e-1,6.3437500000e-4,3.1403511619e-5,6.4157297716e-4,1.2687500000e-1,1.2831459543e-1,2.1093750000e-4,1.8139285016e-5,2.5816535765e-4,1.0546875000e-1,1.2908267882e-1
0.380000,1.1887500000e-2,1.3621988629e-4,1.1991754955e-2,1.1887500000e-1,1.1991754955e-1,2.7687500000e-3,6.5787562791e-5,2.7764605969e-3,1.3843750000e-1,1.3882302985e-1,7.2031250000e-4,3.3451497052e-5,7.1484007426e-4,1.4406250000e-1,1.4296801485e-1,2.7187500000e-4,2.0588364124e-5,2.8764727187e-4,1.3593750000e-1,1.4382363594e-1
0.400000,1.3337500000e-2,1.4433651408e-4,1.3294126735e-2,1.3337500000e-1,1.3294126735e-1,3.0609375000e-3,6.8839235190e-5,3.0764843781e-3,1.5304687500e-1,1.5382421890e-1,8.0156250000e-4,3.5345338281e-5,7.9206778718e-4,1.6031250000e-1,1.5841355744e-1,3.3437500000e-4,2.2826812184e-5,3.1872281813e-4,1.6718750000e-1,1.5936140907e-1
0.420000,1.4731250000e-2,1.5212452335e-4,1.4664714599e-2,1.4731250000e-1,1.4664714599e-1,3.3828125000e-3,7.2860259409e-5,3.3919094497e-3,1.6914062500e-1,1.6959547249e-1,9.1718750000e-4,3.7846475164e-5,8.7325615255e-4,1.8343750000e-1,1.7465123051e-1,3.2500000000e-4,2.2613602101e-5,3.5139199879e-4,1.6250000000e-1,1.7569599940e-1
