lambda,n_qmc_eta10,n_err_eta10,n_ed_eta10,ntilde_qmc_eta10,ntilde_ed_eta10,x2_qmc_eta10,x2_err_eta10,x2_ed_eta10,n_qmc_eta50,n_err_eta50,n_ed_eta50,ntilde_qmc_eta50,ntilde_ed_eta50,x2_qmc_eta50,x2_err_eta50,x2_ed_eta50,n_qmc_eta200,n_err_eta200,n_ed_eta200,ntilde_qmc_eta200,ntilde_ed_eta200,x2_qmc_eta200,x2_err_eta200,x2_ed_eta200,n_qmc_eta500,n_err_eta500,n_ed_eta500,ntilde_qmc_eta500,ntilde_ed_eta500,x2_qmc_eta500,x2_err_eta500,x2_ed_eta500
0.200000,3.2716666667e-3,3.6889679250e-5,3.3102493917e-3,3.2716666667e-2,3.3102493917e-2,1.0152214995e0,1.0845685314e-3,1.0138980084e0,8.0708333333e-4,1.8316722762e-5,7.6897900934e-4,4.0354166667e-2,3.8448950467e-2,1.0023985049e0,3.6633635068e-5,1.0031066264e0,1.9750000000e-4,9.0643061419e-6,1.9801459384e-4,3.9500000000e-2,3.9602918769e-2,1.0005940054e0,1.8128618112e-5,1.0007940377e0,8.4166666667e-5,5.9199519439e-6,7.9680552169e-5,4.2083333333e-2,3.9840276085e-2,1.0002481737e0,1.1839903991e-5,1.0003190409e0
0.250000,5.1250000000e-3,4.6217518624e-5,5.1761786850e-3,5.1250000000e-2,5.1761786850e-2,1.0218002223e0,9.4184138411e-4,1.0217276648e0,1.2075000000e-3,2.2422727341e-5,1.2015714023e-3,6.0375000000e-2,6.0078570115e-2,1.0043205273e0,6.8310728355e-4,1.0048542294e0,3.2416666667e-4,1.1606858505e-5,3.0939849255e-4,6.4833333333e-2,6.1879698510e-2,1.0009592796e0,2.3213729707e-5,1.0012406860e0,1.2500000000e-4,7.2132690231e-6,1.2450090741e-4,6.2500000000e-2,6.2250453706e-2,1.0003747506e0,1.4426539097e-5,1.0004985015e0
0.300000,7.4420833333e-3,5.5810965042e-5,7.4605654629e-3,7.4420833333e-2,7.4605654629e-2,1.0323373038e0,9.9295010979e-4,1.0313089396e0,1.7316666667e-3,2.6849715324e-5,1.7303361451e-3,8.6583333333e-2,8.6516807256e-2,1.0061725620e0,6.7227476422e-4,1.0069903114e0,4.4541666667e-4,1.3624367956e-5,4.4553504279e-4,8.9083333333e-2,8.9107008559e-2,1.0013385965e0,2.7248756200e-5,1.0017865915e0,1.8166666667e-4,8.7138772890e-6,1.7928138524e-4,9.0833333333e-2,8.9640692621e-2,1.0005429742e0,1.7427756064e-5,1.0007178424e0
0.350000,1.0132083333e-2,6.5055992225e-5,1.0165666993e-2,1.0132083333e-1,1.0165666993e-1,1.0420342656e0,9.1868138627e-4,1.0426487660e0,2.3720833333e-3,3.1476859436e-5,2.3552975756e-3,1.1860416667e-1,1.1776487878e-1,1.0123501080e0,1.3514159386e-3,1.0095149457e0,5.9833333333e-4,1.5784608948e-5,6.0642464862e-4,1.1966666667e-1,1.2128492972e-1,1.0031734645e0,1.3693647477e-3,1.0024317554e0,2.6250000000e-4,1.0463868057e-5,2.4402201184e-4,1.3125000000e-1,1.2201100592e-1,1.0007695112e0,2.0927739897e-5,1.0009770637e0
0.380000,1.1993333333e-2,7.0806699829e-5,1.1991754955e-2,1.1993333333e-1,1.1991754955e-1,1.0501263621e0,9.5199077190e-4,1.0503000954e0,2.7825000000e-3,3.4063226853e-5,2.7764605969e-3,1.3912500000e-1,1.3882302985e-1,1.0107510825e0,8.3981025368e-4,1.0112162669e0,7.1166666667e-4,1.7221372112e-5,7.1484007426e-4,1.4233333333e-1,1.4296801485e-1,1.0033017132e0,1.1621360843e-3,1.0028664984e0,3.0083333333e-4,1.1213384756e-5,2.8764727187e-4,1.5041666667e-1,1.4382363594e-1,1.0008898906e0,2.2426774348e-5,1.0011517390e0
0.400000,1.3255416667e-2,7.4315678299e-5,1.3294126735e-2,1.3255416667e-1,1.3294126735e-1,1.0531511790e0,8.7673952222e-4,1.0557552617e0,3.0929166667e-3,3.5884968216e-5,3.0764843781e-3,1.5464583333e-1,1.5382421890e-1,1.0119795057e0,8.4812862930e-4,1.0124282189e0,7.9083333333e-4,1.8114182532e-5,7.9206778718e-4,1.5816666667e-1,1.5841355744e-1,1.0023776929e0,3.6228412806e-5,1.0031761792e0,3.1458333333e-4,1.1449617266e-5,3.1872281813e-4,1.5729166667e-1,1.5936140907e-1,1.0009485284e0,2.2899239140e-5,1.0012761653e0
0.420000,1.4619166667e-2,7.8145358844e-5,1.4664714599e-2,1.4619166667e-1,1.4664714599e-1,1.0618561029e0,9.7469159470e-4,1.0614945649e0,3.4141666667e-3,3.7777203560e-5,3.3919094497e-3,1.7070833333e-1,1.6959547249e-1,1.0129376125e0,8.0796092924e-4,1.0137023688e0,8.8833333333e-4,1.9206699979e-5,8.7325615255e-4,1.7766666667e-1,1.7465123051e-1,1.0026542863e0,3.8413456410e-5,1.0035017418e0,3.4416666667e-4,1.1987593027e-5,3.5139199879e-4,1.7208333333e-1,1.7569599940e-1,1.0010404296e0,2.3975191695e-5,1.0014069726e0
0.440000,1.6134166667e-2,8.2124590294e-5,1.6103728010e-2,1.6134166667e-1,1.6103728010e-1,1.0682304818e0,9.9319648169e-4,1.0675186481e0,3.7333333333e-3,3.9441400509e-5,3.7227381150e-3,1.8666666667e-1,1.8613690575e-1,1.0138973448e0,7.7079511663e-4,1.0150387237e0,9.9375000000e-4,2.0352958639e-5,9.5840520882e-4,1.9875000000e-1,1.9168104176e-1,1.0038158738e0,8.6779266977e-4,1.0038431863e0,3.7000000000e-4,1.2397997150e-5,3.8565481636e-4,1.8500000000e-1,1.9282740818e-1,1.0011264277e0,2.4796000506e-5,1.0015441607e0
0.450000,1.6740416667e-2,8.3647701034e-5,1.6848962237e-2,1.6740416667e-1,1.6848962237e-1,1.0682475350e0,9.1221639248e-4,1.0706376907e0,3.8875000000e-3,4.0267846716e-5,3.8939295447e-3,1.9437500000e-1,1.9469647724e-1,1.0151038799e0,8.4975958708e-4,1.0157302303e0,9.8541666667e-4,2.0251697103e-5,1.0024650086e-3,1.9708333333e-1,2.0049300172e-1,1.0046326160e0,1.1728148690e-3,1.0040198644e0,3.9833333333e-4,1.2929788675e-5,4.0338383979e-4,1.9916666667e-1,2.0169191990e-1,1.0012008589e0,2.5859584492e-5,1.0016151476e0
0.460000,1.7585000000e-2,8.5874526200e-5,1.7611385499e-2,1.7585000000e-1,1.7611385499e-1,1.0733796464e0,9.6833857751e-4,1.0738281820e0,4.0912500000e-3,4.1226053929e-5,4.0689727857e-3,2.0456250000e-1,2.0344863928e-1,1.0159471130e0,8.6289517562e-4,1.0164372908e0,1.0404166667e-3,2.0809222034e-5,1.0475149963e-3,2.0808333333e-1,2.0950299927e-1,1.0047167454e0,1.1225793125e-3,1.0042005130e0,4.3541666667e-4,1.3484558534e-5,4.2151127344e-4,2.1770833333e-1,2.1075563672e-1,1.0012931893e0,2.6969123512e-5,1.0016877297e0
0.480000,1.9223750000e-2,8.9887652457e-5,1.9187914503e-2,1.9223750000e-1,1.9187914503e-1,1.0799276613e0,9.6695319517e-4,1.0804238644e0,4.4495833333e-3,4.3061775709e-5,4.4306159817e-3,2.2247916667e-1,2.2153079908e-1,1.0178441723e0,9.1557636540e-4,1.0178980777e0,1.1250000000e-3,2.1633387904e-5,1.1405855573e-3,2.2500000000e-1,2.2811711145e-1,1.0033962817e0,4.3266858002e-5,1.0045737218e0,4.6541666667e-4,1.3937117189e-5,4.5896137278e-4,2.3270833333e-1,2.2948068639e-1,1.0013907144e0,2.7874243036e-5,1.0018376796e0
0.500000,2.0791666667e-2,9.3324001270e-5,2.0833551197e-2,2.0791666667e-1,2.0833551197e-1,1.0872068647e0,9.8118827501e-4,1.0873064202e0,4.7933333333e-3,4.4563585865e-5,4.8076703305e-3,2.3966666667e-1,2.4038351652e-1,1.0185690419e0,8.4553653013e-4,1.0194210923e0,1.1991666667e-3,2.2377717040e-5,1.2376169356e-3,2.3983333333e-1,2.4752338713e-1,1.0049821186e0,9.5090875901e-4,1.0049628130e0,4.6083333333e-4,1.3843887456e-5,4.9800511724e-4,2.3041666667e-1,2.4900255862e-1,1.0014206696e0,2.7687784028e-5,1.0019940105e0
0.520000,2.2434583333e-2,9.7049741897e-5,2.2548540313e-2,2.2434583333e-1,2.2548540313e-1,1.0946236857e0,1.0071375434e-3,1.0944766000e0,5.1904166667e-3,4.6532067491e-5,5.2001385665e-3,2.5952083333e-1,2.6000692832e-1,1.0205556267e0,8.8887095155e-4,1.0210063428e0,1.3341666667e-3,2.3591665146e-5,1.3386091774e-3,2.6683333333e-1,2.6772183548e-1,1.0058719663e0,1.0768103118e-3,1.0053677867e0,5.2375000000e-4,1.4765135655e-5,5.3864250979e-4,2.6187500000e-1,2.6932125489e-1,1.0015872217e0,2.9530281584e-5,1.0021567223e0
0.540000,2.4441250000e-2,1.0117315820e-4,2.4333134954e-2,2.4441250000e-1,2.4333134954e-1,1.1033127252e0,1.0296126749e-3,1.1019351804e0,5.6087500000e-3,4.8274038575e-5,5.6080235306e-3,2.8043750000e-1,2.8040117653e-1,1.0226197297e0,9.2516968730e-4,1.0226538379e0,1.4704166667e-3,2.4781991097e-5,1.4435623302e-3,2.9408333333e-1,2.8871246604e-1,1.0049660121e0,5.7819330483e-4,1.0057886429e0,5.7500000000e-4,1.5487741568e-5,5.8087355354e-4,2.8750000000e-1,2.9043677677e-1,1.0031637909e0,1.4337477431e-3,1.0023258150e0
0.550000,2.5497916667e-2,1.0363718759e-4,2.5251615683e-2,2.5497916667e-1,2.5251615683e-1,1.1078649411e0,1.0240437900e-3,1.1057728703e0,5.8275000000e-3,4.9349892843e-5,5.8177482025e-3,2.9137500000e-1,2.9088741013e-1,1.0240495540e0,9.6880949035e-4,1.0235009299e0,1.5516666667e-3,2.5419305692e-5,1.4975242637e-3,3.1033333333e-1,2.9950485274e-1,1.0068231852e0,1.1118901647e-3,1.0060050271e0,6.1333333333e-4,1.6001179355e-5,6.0258669561e-4,3.0666666667e-1,3.0129334781e-1,1.0018304605e0,3.2002371820e-5,1.0024127542e0
