lambda,sx_omega50,sx2_omega50,sx4_omega50,u4_omega50,order_omega50,sx_omega200,sx2_omega200,sx4_omega200,u4_omega200,order_omega200,sx_omega1000,sx2_omega1000,sx4_omega1000,u4_omega1000,order_omega1000
0.050000,0.9999731551,0.9999464673,0.9998935578,0.6666664598,24.274508,0.9999950749,0.9999901548,0.9999803294,0.6666666601,23.897558,0.9999986631,0.9999973267,0.9999946551,0.6666666661,24.179400
0.100000,0.9999114176,0.9998232495,0.9996481439,0.6666661286,24.132742,0.9999734056,0.9999468457,0.9998938286,0.6666666218,24.194608,0.9999949998,0.9999900011,0.9999800085,0.6666666646,23.645067
0.200000,0.9996182535,0.9992387253,0.9984862392,0.6666639261,24.157475,0.9998974225,0.9997949868,0.9995905394,0.6666664920,24.328342,0.9999792146,0.9999584352,0.9999168949,0.6666666591,24.217017
0.300000,0.9990540597,0.9981467760,0.9963146684,0.6666607508,24.311758,0.9997697409,0.9995731290,0.9991475108,0.6666663095,24.478842,0.9999568751,0.9999137628,0.9998275758,0.6666666524,24.378900
0.400000,0.9984106527,0.9968319935,0.9937063104,0.6666558358,24.594000,0.9996040881,0.9992088170,0.9984201917,0.6666660218,24.665158,0.9999184761,0.9998369803,0.9996740729,0.6666666381,24.806467
0.450000,0.9980426596,0.9960983460,0.9922483086,0.6666544402,24.769375,0.9994953694,0.9989916184,0.9979867466,0.6666658340,24.596250,0.9998992389,0.9997985123,0.9995971624,0.6666666342,24.824283
0.500000,0.9975152093,0.9950484588,0.9901683390,0.6666508762,24.883442,0.9993678245,0.9987368661,0.9974785872,0.6666655774,24.963125,0.9998742898,0.9997486279,0.9994974491,0.6666666233,24.976850
0.550000,0.9971512350,0.9943247410,0.9887375713,0.6666478265,24.808483,0.9992349821,0.9984715154,0.9969492172,0.6666653794,25.097975,0.9998482491,0.9996965602,0.9993933678,0.6666666148,25.021542
0.600000,0.9965572522,0.9931438095,0.9864033878,0.6666434286,25.246542,0.9990944211,0.9981907716,0.9963892380,0.6666651875,25.511667,0.9998190195,0.9996381155,0.9992765365,0.6666666084,25.751975
0.700000,0.9953891856,0.9908218711,0.9818155199,0.6666369437,25.750917,0.9987828632,0.9975687527,0.9951495697,0.6666646055,25.845817,0.9997532256,0.9995065743,0.9990136408,0.6666665837,25.805500
0.800000,0.9939123712,0.9878910471,0.9760433977,0.6666274982,26.458433,0.9984231818,0.9968508490,0.9937195715,0.6666639978,26.453750,0.9996783319,0.9993568487,0.9987144362,0.6666665581,26.641392
0.900000,0.9921884764,0.9844771318,0.9693482468,0.6666140375,27.099025,0.9980143514,0.9960351371,0.9920959011,0.6666633381,27.313083,0.9996023631,0.9992049823,0.9984109882,0.6666665359,27.153450
1.000000,0.9904902696,0.9811179153,0.9627750885,0.6666033914,27.780250,0.9975195176,0.9950482149,0.9901329772,0.6666626176,27.790717,0.9995093124,0.9990189891,0.9980394335,0.6666665020,27.790617
1.200000,0.9861976017,0.9726536315,0.9463174208,0.6665742359,29.550708,0.9964577703,0.9929323470,0.9859315324,0.6666609573,29.984000,0.9992748675,0.9985504365,0.9971036758,0.6666664321,29.857775
1.500000,0.9783089635,0.9571902203,0.9166001106,0.6665258723,34.026292,0.9944611656,0.9889599669,0.9780692860,0.6666573045,33.599450,0.9988843415,0.9977701948,0.9955464273,0.6666663098,33.970975
2.000000,0.9619824051,0.9255851700,0.8573515373,0.6664162389,47.586083,0.9901787161,0.9804659100,0.9613604599,0.6666503490,47.690133,0.9979943075,0.9959931237,0.9920042376,0.6666660164,48.199242
2.500000,0.9414690116,0.8866319383,0.7870603669,0.6662663133,65.533767,0.9847951477,0.9698407751,0.9406658139,0.6666401993,65.320125,0.9968791893,0.9937688947,0.9875797017,0.6666656252,65.903642
3.000000,0.9191107586,0.8451038487,0.7153396930,0.6661349869,85.782833,0.9775933398,0.9557164235,0.9134994840,0.6666281284,88.524758,0.9955429156,0.9911067760,0.9822969186,0.6666652153,87.487092
4.000000,0.8569464009,0.7349521732,0.5418933324,0.6655937422,142.841150,0.9609776239,0.9235249466,0.8530713735,0.6665990359,144.028717,0.9920307299,0.9841269170,0.9685134539,0.6666640285,143.450983
5.000000,0.7854952197,0.6178764647,0.3838554596,0.6648469613,211.204975,0.9401333595,0.8839182886,0.7815500329,0.6665649182,215.064675,0.9878596058,0.9758696433,0.9523334327,0.6666625112,215.564517
6.000000,0.7080928441,0.5024254781,0.2544946462,0.6639421172,300.460608,0.9144193327,0.8362648238,0.6996793546,0.6665043710,302.336125,0.9819097949,0.9641508832,0.9296024940,0.6666610841,308.717992
7.000000,0.6264253042,0.3939621340,0.1571157774,0.6625654241,399.218258,0.8871301731,0.7871105554,0.6198911168,0.6664793832,403.239808,0.9757072440,0.9520109642,0.9063489898,0.6666577979,408.275092
8.000000,0.5374596964,0.2898765657,0.0851969587,0.6620311899,522.660050,0.8550101222,0.7312120965,0.5351661991,0.6663580227,522.784158,0.9680411629,0.9371117812,0.8782088060,0.6666551597,532.743592
10.000000,0.3766463689,0.1429977435,0.0210889451,0.6562242538,808.053158,0.7817279203,0.6113047816,0.3741964505,0.6662180687,809.830450,0.9519949948,0.9063048991,0.8214263460,0.6666513366,809.503208
15.000000,0.1161340773,0.0142585765,0.0002457641,0.5970558030,1792.703650,0.5758866570,0.3318834947,0.1104628784,0.6657096870,1823.249500,0.8939598906,0.7991858520,0.6387669191,0.6666307118,1808.940658
