g,u4_omega50,u4_omega200,u4_omega1000
1.00000000,0.0000015889,0.0000000066,0.0000000000
1.33110368,0.0000049764,0.0000000206,0.0000000000
1.66220736,0.0000120643,0.0000000500,0.0000000001
1.99331104,0.0000248580,0.0000001034,0.0000000002
2.32441472,0.0000457655,0.0000001911,0.0000000003
2.65551839,0.0000775737,0.0000003254,0.0000000005
2.98662207,0.0001234216,0.0000005204,0.0000000008
3.31772575,0.0001867692,0.0000007922,0.0000000013
3.64882943,0.0002713655,0.0000011585,0.0000000019
3.97993311,0.0003812122,0.0000016389,0.0000000027
4.31103679,0.0005205271,0.0000022550,0.0000000037
4.64214047,0.0006937055,0.0000030300,0.0000000049
4.97324415,0.0009052803,0.0000039889,0.0000000065
5.30434783,0.0011598828,0.0000051586,0.0000000084
5.63545151,0.0014622012,0.0000065677,0.0000000107
5.96655518,0.0018169428,0.0000082464,0.0000000135
6.29765886,0.0022287947,0.0000102267,0.0000000167
6.62876254,0.0027023849,0.0000125425,0.0000000205
6.95986622,0.0032422494,0.0000152291,0.0000000249
7.29096990,0.0038527952,0.0000183235,0.0000000300
7.62207358,0.0045382709,0.0000218644,0.0000000359
7.95317726,0.0053027325,0.0000258922,0.0000000425
8.28428094,0.0061500262,0.0000304485,0.0000000500
8.61538462,0.0070837529,0.0000355770,0.0000000585
8.94648829,0.0081072556,0.0000413224,0.0000000681
9.27759197,0.0092235976,0.0000477312,0.0000000787
9.60869565,0.0104355466,0.0000548513,0.0000000905
9.93979933,0.0117455638,0.0000627320,0.0000001037
10.27090301,0.0131557944,0.0000714241,0.0000001182
10.60200669,0.0146680605,0.0000809796,0.0000001342
10.93311037,0.0162838579,0.0000914519,0.0000001517
11.26421405,0.0180043523,0.0001028959,0.0000001710
11.59531773,0.0198303834,0.0001153676,0.0000001920
11.92642140,0.0217624732,0.0001289242,0.0000002148
12.25752508,0.0238008128,0.0001436241,0.0000002397
12.58862876,0.0259452930,0.0001595270,0.0000002666
12.91973244,0.0281955032,0.0001766937,0.0000002958
13.25083612,0.0305507349,0.0001951860,0.0000003273
13.58193980,0.0330100088,0.0002150668,0.0000003612
13.91304348,0.0355720768,0.0002364001,0.0000003977
14.24414716,0.0382354389,0.0002592507,0.0000004369
14.57525084,0.0409983641,0.0002836845,0.0000004789
14.90635452,0.0438588950,0.0003097683,0.0000005239
15.23745819,0.0468148716,0.0003375696,0.0000005720
15.56856187,0.0498639461,0.0003671569,0.0000006233
15.89966555,0.0530036034,0.0003985993,0.0000006780
16.23076923,0.0562311655,0.0004319670,0.0000007362
16.56187291,0.0595438198,0.0004673304,0.0000007980
16.89297659,0.0629386297,0.0005047608,0.0000008637
17.22408027,0.0664125517,0.0005443303,0.0000009333
17.55518395,0.0699624524,0.0005861112,0.0000010071
17.88628763,0.0735851178,0.0006301767,0.0000010852
18.21739130,0.0772772737,0.0006766001,0.0000011677
18.54849498,0.0810355970,0.0007254555,0.0000012548
18.87959866,0.0848567276,0.0007768173,0.0000013467
19.21070234,0.0887372832,0.0008307603,0.0000014435
19.54180602,0.0926738702,0.0008873592,0.0000015455
19.87290970,0.0966630900,0.0009466897,0.0000016527
20.20401338,0.1007015602,0.0010088272,0.0000017655
20.53511706,0.1047859139,0.0010738474,0.0000018839
20.86622074,0.1089128106,0.0011418263,0.0000020081
21.19732441,0.1130789496,0.0012128403,0.0000021384
21.52842809,0.1172810646,0.0012869649,0.0000022750
21.85953177,0.1215159636,0.0013642767,0.0000024179
22.19063545,0.1257804797,0.0014448514,0.0000025674
22.52173913,0.1300715078,0.0015287655,0.0000027238
22.85284281,0.1343860609,0.0016160948,0.0000028872
23.18394649,0.1387211451,0.0017069154,0.0000030578
23.51505017,0.1430739039,0.0018013027,0.0000032359
23.84615385,0.1474415258,0.0018993323,0.0000034216
24.17725753,0.1518212939,0.0020010794,0.0000036152
24.50836120,0.1562105638,0.0021066190,0.0000038169
24.83946488,0.1606067796,0.0022160257,0.0000040268
25.17056856,0.1650074698,0.0023293739,0.0000042453
25.50167224,0.1694102489,0.0024467377,0.0000044725
25.83277592,0.1737760663,0.0025681900,0.0000047087
26.16387960,0.1782129713,0.0026938042,0.0000049541
26.49498328,0.1826085775,0.0028236526,0.0000052090
26.82608696,0.1869975986,0.0029578074,0.0000054735
27.15719064,0.1913780828,0.0030963390,0.0000057480
27.48829431,0.1957481686,0.0032393200,0.0000060326
27.81939799,0.2001060704,0.0033868190,0.0000063276
28.15050167,0.2044526651,0.0035389062,0.0000066333
28.48160535,0.2087786067,0.0036956498,0.0000069499
28.81270903,0.2130900852,0.0038571185,0.0000072777
29.14381271,0.2173830677,0.0040233789,0.0000076168
29.47491639,0.2216561714,0.0041944981,0.0000079677
29.80602007,0.2259080888,0.0043705415,0.0000083305
30.13712375,0.2301375860,0.0045515738,0.0000087055
30.46822742,0.2343435036,0.0047376595,0.0000090929
30.79933110,0.2385247454,0.0049288598,0.0000094932
31.13043478,0.2426802898,0.0051252387,0.0000099064
31.46153846,0.2468091729,0.0053268576,0.0000103329
31.79264214,0.2509104992,0.0055337751,0.0000107730
32.12374582,0.2549834331,0.0057460517,0.0000112270
32.45484950,0.2590271982,0.0059637450,0.0000116951
32.78595318,0.2630410739,0.0061869116,0.0000121776
33.11705686,0.2670243968,0.0064156090,0.0000126748
33.44816054,0.2709765533,0.0066498902,0.0000131870
33.77926421,0.2748969832,0.0068898103,0.0000137146
34.11036789,0.2787851745,0.0071354212,0.0000142577
34.44147157,0.2826406620,0.0073867765,0.0000148167
34.77257525,0.2864630252,0.0076439247,0.0000153920
35.10367893,0.2902518872,0.0079069156,0.0000159837
35.43478261,0.2940069117,0.0081757967,0.0000165922
35.76588629,0.2977278030,0.0084506156,0.0000172179
36.09698997,0.3014143024,0.0087314175,0.0000178611
36.42809365,0.3050661860,0.0090182472,0.0000185219
36.75919732,0.3086832666,0.0093111471,0.0000192009
37.09030100,0.3122653874,0.0096101598,0.0000198982
37.42140468,0.3158124250,0.0099153255,0.0000206143
37.75250836,0.3193242831,0.0102266838,0.0000213494
38.08361204,0.3228008960,0.0105442714,0.0000221038
38.41471572,0.3262422224,0.0108681278,0.0000228780
38.74581940,0.3296482460,0.0111982863,0.0000236722
39.07692308,0.3330189779,0.0115347814,0.0000244868
39.40802676,0.3363544477,0.0118776455,0.0000253221
39.73913043,0.3396547080,0.0122269108,0.0000261785
40.07023411,0.3429198332,0.0125826075,0.0000270562
40.40133779,0.3461499148,0.0129447639,0.0000279558
40.73244147,0.3493450633,0.0133134066,0.0000288773
41.06354515,0.3525053812,0.0136885645,0.0000298214
41.39464883,0.3556310816,0.0140702586,0.0000307883
41.72575251,0.3587222510,0.0144585141,0.0000317783
42.05685619,0.3617790698,0.0148533557,0.0000327918
42.38795987,0.3648017696,0.0152547996,0.0000338292
42.71906355,0.3677904991,0.0156628677,0.0000348909
43.05016722,0.3707454826,0.0160775772,0.0000359771
43.38127090,0.3736669580,0.0164989460,0.0000370884
43.71237458,0.3765551086,0.0169269875,0.0000382250
44.04347826,0.3794101868,0.0173617157,0.0000393873
44.37458194,0.3822324641,0.0178031469,0.0000405757
44.70568562,0.3850221768,0.0182512872,0.0000417906
45.03678930,0.3877795751,0.0187061503,0.0000430323
45.36789298,0.3905049492,0.0191677441,0.0000443013
45.69899666,0.3931985675,0.0196360746,0.0000455980
46.03010033,0.3958607007,0.0201111492,0.0000469226
46.36120401,0.3984897230,0.0205929735,0.0000482756
46.69230769,0.4010916256,0.0210815469,0.0000496575
47.02341137,0.4036610181,0.0215768761,0.0000510685
47.35451505,0.4062000875,0.0220789599,0.0000525092
47.68561873,0.4087091190,0.0225878000,0.0000539798
48.01672241,0.4111884216,0.0231033895,0.0000554808
48.34782609,0.4136383009,0.0236257314,0.0000570126
48.67892977,0.4160590518,0.0241548183,0.0000585756
49.01003344,0.4184509928,0.0246906466,0.0000601702
49.34113712,0.4208144257,0.0252332069,0.0000617969
49.67224080,0.4231496603,0.0257824949,0.0000634559
50.00334448,0.4254569931,0.0263384988,0.0000651479
50.33444816,0.4277367718,0.0269012107,0.0000668730
50.66555184,0.4299892686,0.0274706165,0.0000686319
50.99665552,0.4322148060,0.0280467080,0.0000704250
51.32775920,0.4344136941,0.0286294647,0.0000722525
51.65886288,0.4365862407,0.0292188779,0.0000741150
51.98996656,0.4387327552,0.0298149293,0.0000760128
52.32107023,0.4408535454,0.0304176027,0.0000779465
52.65217391,0.4429489170,0.0310268798,0.0000799165
52.98327759,0.4450191755,0.0316427394,0.0000819231
53.31438127,0.4470646252,0.0322651646,0.0000839669
53.64548495,0.4490855679,0.0328941321,0.0000860483
53.97658863,0.4510823045,0.0335296180,0.0000881676
54.30769231,0.4530551225,0.0341718759,0.0000903254
54.63879599,0.4550043605,0.0348200594,0.0000925221
54.96989967,0.4569302765,0.0354749619,0.0000947581
55.30100334,0.4588331402,0.0361362844,0.0000970339
55.63210702,0.4607132913,0.0368040027,0.0000993500
55.96321070,0.4625709998,0.0374780867,0.0001017068
56.29431438,0.4644065523,0.0381585052,0.0001041047
56.62541806,0.4662202569,0.0388452282,0.0001065442
56.95652174,0.4680123196,0.0395382299,0.0001090258
57.28762542,0.4697830952,0.0402374720,0.0001115499
57.61872910,0.4715328343,0.0409429268,0.0001141170
57.94983278,0.4732617994,0.0416545579,0.0001167276
58.28093645,0.4749703133,0.0423723323,0.0001193821
58.61204013,0.4766585572,0.0430962128,0.0001220811
58.94314381,0.4783268608,0.0438261675,0.0001248248
59.27424749,0.4799754683,0.0445621530,0.0001276140
59.60535117,0.4816046404,0.0453041404,0.0001304489
59.93645485,0.4832146337,0.0460520861,0.0001333302
60.26755853,0.4848057030,0.0468059504,0.0001362582
60.59866221,0.4863780995,0.0475656976,0.0001392335
60.92976589,0.4879320714,0.0483312850,0.0001422565
61.26086957,0.4894678648,0.0491026702,0.0001453277
61.59197324,0.4909857219,0.0498798164,0.0001484477
61.92307692,0.4924858828,0.0506626778,0.0001516169
62.25418060,0.4939685843,0.0514512120,0.0001548357
62.58528428,0.4954340610,0.0522453737,0.0001581048
62.91638796,0.4968825435,0.0530451245,0.0001614244
63.24749164,0.4983142607,0.0538504146,0.0001647953
63.57859532,0.4997294376,0.0546611982,0.0001682178
63.90969900,0.5011282971,0.0554774355,0.0001716925
64.24080268,0.5025110587,0.0562990737,0.0001752199
64.57190635,0.5038779393,0.0571260717,0.0001788005
64.90301003,0.5052291535,0.0579583790,0.0001824347
65.23411371,0.5065649120,0.0587959483,0.0001861231
65.56521739,0.5078854236,0.0596387323,0.0001898662
65.89632107,0.5091908941,0.0604866834,0.0001936645
66.22742475,0.5104815261,0.0613397477,0.0001975185
66.55852843,0.5117575205,0.0621978818,0.0002014287
66.88963211,0.5130190742,0.0630610331,0.0002053957
67.22073579,0.5142663826,0.0639291570,0.0002094199
67.55183946,0.5154996374,0.0648021910,0.0002135019
67.88294314,0.5167190283,0.0656800948,0.0002176421
68.21404682,0.5179247423,0.0665628125,0.0002218413
68.54515050,0.5191169848,0.0674502962,0.0002260996
68.87625418,0.5202958743,0.0683424903,0.0002304178
69.20735786,0.5214616529,0.0692393479,0.0002347965
69.53846154,0.5226144768,0.0701408121,0.0002392361
69.86956522,0.5237543211,0.0710468305,0.0002437370
70.20066890,0.5248819539,0.0719583592,0.0002483000
70.53177258,0.5259969478,0.0728723249,0.0002529254
70.86287625,0.5270996687,0.0737916947,0.0002576139
71.19397993,0.5281902820,0.0747154081,0.0002623659
71.52508361,0.5292689481,0.0756434121,0.0002671821
71.85618729,0.5303358278,0.0765756514,0.0002720628
72.18729097,0.5313932307,0.0775120725,0.0002770088
72.51839465,0.5324348559,0.0784526242,0.0002820205
72.84949833,0.5334673121,0.0793972499,0.0002870984
73.18060201,0.5344885983,0.0803458951,0.0002922431
73.51170569,0.5354988628,0.0812985068,0.0002974553
73.84280936,0.5364982522,0.0822550302,0.0003027352
74.17391304,0.5374869110,0.0832154126,0.0003080836
74.50501672,0.5384649812,0.0841795950,0.0003135010
74.83612040,0.5394326029,0.0851475259,0.0003189880
75.16722408,0.5403899142,0.0861191512,0.0003245450
75.49832776,0.5413370514,0.0870944146,0.0003301727
75.82943144,0.5422741484,0.0880732640,0.0003358716
76.16053512,0.5432013376,0.0890556404,0.0003416421
76.49163880,0.5441187493,0.0900414949,0.0003474851
76.82274247,0.5450265119,0.0910307694,0.0003534009
77.15384615,0.5459247520,0.0920234100,0.0003593902
77.48494983,0.5468135945,0.0930193591,0.0003654532
77.81605351,0.5476931625,0.0940185665,0.0003715910
78.14715719,0.5485635772,0.0950209771,0.0003778038
78.47826087,0.5494249583,0.0960265352,0.0003840924
78.80936455,0.5502774237,0.0970351876,0.0003904571
79.14046823,0.5511210896,0.0980468787,0.0003968986
79.47157191,0.5519560706,0.0990615546,0.0004034175
79.80267559,0.5527824797,0.1000791659,0.0004100144
80.13377926,0.5536004281,0.1010996510,0.0004166897
80.46488294,0.5544100249,0.1021229601,0.0004234441
80.79598662,0.5552113797,0.1031490414,0.0004302782
81.12709030,0.5560045973,0.1041778363,0.0004371924
81.45819398,0.5567897829,0.1052093006,0.0004441876
81.78929766,0.5575670396,0.1062433685,0.0004512640
82.12040134,0.5583364687,0.1072799932,0.0004584223
82.45150502,0.5590981700,0.1083191252,0.0004656633
82.78260870,0.5598522415,0.1093607114,0.0004729874
83.11371237,0.5605987796,0.1104046944,0.0004803951
83.44481605,0.5613378792,0.1114510226,0.0004878870
83.77591973,0.5620696333,0.1124996487,0.0004954638
84.10702341,0.5627941336,0.1135505169,0.0005031260
84.43812709,0.5635114699,0.1146035792,0.0005108742
